account_num,customer_ref,payment_method_id,extraction_timestamp,date,history_date
2000163952,1000164023,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163954,1000164024,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163990,1000164050,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164010,1000164071,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164015,1000164093,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164018,1000164092,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164048,1000164128,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164070,1000164150,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164071,1000164151,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164088,1000164171,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AUD AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AUD MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BRL AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CAD AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CAD AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CHF AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CHF MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CNY MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
DKK INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
DKK MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
DKK MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
GBP BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
NOK INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SEK BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SKK MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
TRL MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
USD AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
USD BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
XDR INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
YTL MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163929,1000163969,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163934,1000163973,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163948,1000164009,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163950,1000164018,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163953,1000164017,6,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163955,1000164017,6,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000163970,1000164029,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164008,1000164068,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164016,1000164094,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164019,1000164069,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164028,1000164108,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164030,1000164110,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
2000164069,1000164149,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AUD AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AUD INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
AUD MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
BRL AUTO WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CAD BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CAD MANUAL SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CHF MANUAL WRITE OFF,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CNY AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
DKK AUTO SUSPENSE,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
DKK BAD EVENT,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
GBP INTEREST,INTERNAL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
