business_domain_id,business_domain_value,attr_type_def_id
9148700575213673746,Bridged Night Number,9146703400813779244
9148700575213673801,DID Block,9146703400813779244
9148811990513683304,Forgiveness Credit,9146703400813779244
9148811990513683307,Installment Cancellation Fee,9146703400813779244
9148855357813690213,Voicemail Number Routing,9146703400813779244
9148871798813697827,Smartphones,9146703400813779244
9148882497013696037,Pilot Member Line with Trunk,9146703400813779244
9148882497013696040,Bridged Night Number with Trunk,9146703400813779244
9149066573213712278,Phone Number Disconnected in External System,9146703400813779244
9149174204513692024,Labor - Materials,9146703400813779244
9149251656013860874,Number Intercept for Single Line,9146703400813779244
9149251656013860875,Number Intercept for DID,9146703400813779244
9149147555813709698,Number Reservation Line,9146703400813779244
9149317957413721050,Business Domain Wireline Positive Line,9146703400813779244
9149317957413721051,Business Domain Wireline Negative Line,9146703400813779244
9149317957413721052,Business Domain Wireless Positive Line,9146703400813779244
9149317957413721053,Business Domain Wireless Negative Line,9146703400813779244
9150141666113747656,JBSS Direct,9146703400813779244
9150780683213217754,Returned Equipment Compensation Positive,9146703400813779244
9150781397513217763,Down Payment Compensation,9146703400813779244
9153728945013205882,OTT,9146703400813779244
9147264543913893390,Additional Outlets Installation,9146703400813779244
9147264543913893391,Box Swap,9146703400813779244
9147264543913893392,Cable Modem Relocation,9146703400813779244
9147264543913893393,Prewired and Reconnect Homes,9146703400813779244
9147378350013858134,MDU ICB Service,9146703400813779244
9147489920113886906,Equipment Fees,9146703400813779244
9147489920113886907,Early Termination Fee,9146703400813779244
9147489920113886908,Restocking Fee,9146703400813779244
9147489920113886909,Unreturned Fee,9146703400813779244
9147489920113886910,Returned Equipment Compensation,9146703400813779244
9147548885313929419,Upgrade Now Remaining Installments,9146703400813779244
9147575463313934336,Transfer Phone Number From Another Service,9146703400813779244
9147749744813933049,Small World International,9146703400813779244
9147782415213932682,Transfer Phone Number to Another Customer Account,9146703400813779244
9147895280013950082,JBSS Direct Line,9146703400813779244
9147895280013950085,Data Line,9146703400813779244
9147895280013950086,MLH Internal Member,9146703400813779244
9147895280013950087,OX Line,9146703400813779244
9147352090213866167,Return,9146703400813779244
9148232615613661831,Trade In,9146703400813779244
9147212979613885208,Mobile,9146703400813779244
9147212979613885211,Phone,9146703400813779244
9147212979613885212,TV,9146703400813779244
9147212979613885213,Internet,9146703400813779244
9147972573913682465,TiVo,9146703400813779244
9148276401613642939,Line with trunk,9146703400813779244
9148294520213651165,Fixed Line Market,9146703400813779244
9148265000113717172,Residential MDU TV Service,9146703400813779244
9148328513713661391,MLH External Member,9146703400813779244
9148328513713661392,DNH External Member,9146703400813779244
9148397641413688148,Change Sim Card Fee Equipment,9146703400813779244
9148404770013691010,Static IPv4 Address For Simple Internet Pattern,9146703400813779244
9148441040113702950,Static IPv6 Address For Simple Internet Pattern,9146703400813779244
9148543834613660834,SIM Card,9146703400813779244
9148584320013737785,Device Protection,9146703400813779244
9148700575213673733,Hunting Group,9146703400813779244
9148700575213673745,Pilot Member Line,9146703400813779244
9146988500013867724,Assign jbss phone number,9146703400813779244
9146988680013867737,Assign Ported Phone Number,9146703400813779244
9146703400813779251,Mobile Line,9146703400813779244
9146703400813779254,Fixed Line,9146703400813779244
9146987450013842877,Bucket,9146703400813779244
9147084110013826799,Change Phone Number,9146703400813779244
9146705395513780134,Mobile Equipment,9146703400813779244
9146996321113822378,TV Equipment,9146703400813779244
9146996321113822379,Internet Equipment,9146703400813779244
9146996321113822380,Phone Equipment,9146703400813779244
9146996321113822381,Cloud And Managed Service,9146703400813779244
9147004077713830870,Cloud And Managed Service Equipment,9146703400813779244
9147188376613859544,Delivery,9146703400813779244
9147264543913893389,Jacks Installation,9146703400813779244
9148700575213673746,Bridged Night Number,9146703400813779244
9148700575213673801,DID Block,9146703400813779244
9148811990513683304,Forgiveness Credit,9146703400813779244
9148811990513683307,Installment Cancellation Fee,9146703400813779244
9148855357813690213,Voicemail Number Routing,9146703400813779244
9148871798813697827,Smartphones,9146703400813779244
9148882497013696037,Pilot Member Line with Trunk,9146703400813779244
9148882497013696040,Bridged Night Number with Trunk,9146703400813779244
9149066573213712278,Phone Number Disconnected in External System,9146703400813779244
9149174204513692024,Labor - Materials,9146703400813779244
9149251656013860874,Number Intercept for Single Line,9146703400813779244
9149251656013860875,Number Intercept for DID,9146703400813779244
9149147555813709698,Number Reservation Line,9146703400813779244
9149317957413721050,Business Domain Wireline Positive Line,9146703400813779244
9149317957413721051,Business Domain Wireline Negative Line,9146703400813779244
9149317957413721052,Business Domain Wireless Positive Line,9146703400813779244
9149317957413721053,Business Domain Wireless Negative Line,9146703400813779244
9150141666113747656,JBSS Direct,9146703400813779244
9150780683213217754,Returned Equipment Compensation Positive,9146703400813779244
9150781397513217763,Down Payment Compensation,9146703400813779244
9153728945013205882,OTT,9146703400813779244
9147264543913893390,Additional Outlets Installation,9146703400813779244
9147264543913893391,Box Swap,9146703400813779244
9147264543913893392,Cable Modem Relocation,9146703400813779244
9147264543913893393,Prewired and Reconnect Homes,9146703400813779244
9147378350013858134,MDU ICB Service,9146703400813779244
9147489920113886906,Equipment Fees,9146703400813779244
9147489920113886907,Early Termination Fee,9146703400813779244
9147489920113886908,Restocking Fee,9146703400813779244
9147489920113886909,Unreturned Fee,9146703400813779244
9147489920113886910,Returned Equipment Compensation,9146703400813779244
9147548885313929419,Upgrade Now Remaining Installments,9146703400813779244
9147575463313934336,Transfer Phone Number From Another Service,9146703400813779244
9147749744813933049,Small World International,9146703400813779244
9147782415213932682,Transfer Phone Number to Another Customer Account,9146703400813779244
9147895280013950082,JBSS Direct Line,9146703400813779244
9147895280013950085,Data Line,9146703400813779244
9147895280013950086,MLH Internal Member,9146703400813779244
9147895280013950087,OX Line,9146703400813779244
9147352090213866167,Return,9146703400813779244
9148232615613661831,Trade In,9146703400813779244
9147212979613885208,Mobile,9146703400813779244
9147212979613885211,Phone,9146703400813779244
9147212979613885212,TV,9146703400813779244
9147212979613885213,Internet,9146703400813779244
9147972573913682465,TiVo,9146703400813779244
9148276401613642939,Line with trunk,9146703400813779244
9148294520213651165,Fixed Line Market,9146703400813779244
9148265000113717172,Residential MDU TV Service,9146703400813779244
9148328513713661391,MLH External Member,9146703400813779244
9148328513713661392,DNH External Member,9146703400813779244
9148397641413688148,Change Sim Card Fee Equipment,9146703400813779244
9148404770013691010,Static IPv4 Address For Simple Internet Pattern,9146703400813779244
9148441040113702950,Static IPv6 Address For Simple Internet Pattern,9146703400813779244
9148543834613660834,SIM Card,9146703400813779244
9148584320013737785,Device Protection,9146703400813779244
9148700575213673733,Hunting Group,9146703400813779244
9148700575213673745,Pilot Member Line,9146703400813779244
9146988500013867724,Assign jbss phone number,9146703400813779244
9146988680013867737,Assign Ported Phone Number,9146703400813779244
9146703400813779251,Mobile Line,9146703400813779244
