dunning_model_id,dunning_model_value,attr_type_def_id
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
9135992564913510756,Account Level Dunning,9135992564913510755
9135992564913510760,Invoice Level Dunning,9135992564913510755
9136285908913148451,US Account Level Dunning,9135992564913510755
9136285908913148452,Cumulative Account Level Dunning,9135992564913510755
9136285908913148453,Cumulative Invoice Level Dunning ,9135992564913510755
