in_collection_id,in_collection_value,attr_type_def_id
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
9136719219813766691,6#E50000$Yes,9136719219813766689
9136719219813766692,6#9BBB59$No,9136719219813766689
9147032889613830944,6#9BBB59$No,9136719219813766689
