threshold_total_type_id,threshold_total_type_value,attr_type_def_id
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
9135405740513495245,Available credit ,9135405740513495244
9135405740513495246,Credit exposure,9135405740513495244
9135405740513495247,Unpaid spend,9135405740513495244
9135405740513495249,Unbilled usage,9135405740513495244
