revenue_feed_id,attribute_number,attribute_value,action_type,null_group_value,default_value,attribute_number_for_transform,extraction_timestamp,date,history_date
-6,1,Revenue Code,1,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-6,2,Customer reference,1,NULL,NULL,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-6,3,Currency Code,1,NULL,NULL,3,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-6,4,Invoicing Company Id,1,NULL,NULL,4,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-5,4,Charge Cost,2,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,2,Source Class,1,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,3,Customer Segment,1,NULL,NULL,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,4,Revenue Code Name,1,NULL,NULL,3,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,5,Customer Channel,1,NULL,NULL,4,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,6,Product Sequence,1,NULL,NULL,5,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,7,Product ID,1,NULL,NULL,6,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,8,Service Category,1,NULL,NULL,7,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,9,Bill Cycle Date,1,NULL,NULL,8,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,10,Tariff ID,1,NULL,NULL,9,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,11,TESZOR Codes,1,NULL,NULL,10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,12,VAT Tax Rate,1,NULL,NULL,11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,13,VAT Flat Tax Rate,1,NULL,NULL,12,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,14,Charge Source Class Id,1,NULL,NULL,13,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,15,Discount Owning ProdSeq/ Dispute charge,1,NULL,NULL,14,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-6,5,Revenue Money,2,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,1,Source Class ID,1,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,2,Address sequence,1,NULL,NULL,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,3,Charge Start Date(Product),1,NULL,NULL,3,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,4,Charge End Date(Product),1,NULL,NULL,4,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,5,Product ID/OTC ID,1,NULL,NULL,5,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,6,Tariff ID,1,NULL,NULL,6,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,7,ChargeType/EventDiscount/TaxType/OTCType,1,NULL,NULL,7,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,8,Charge Sub-Type,1,NULL,NULL,8,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,10,UsTax authority,1,NULL,NULL,9,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,11,RevCodeId,1,NULL,NULL,10,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,12,ProductSeq,1,NULL,NULL,11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
