CUSTOMER_REF,ACCOUNT_NUM,DOMAIN_ID,BILL_SEQ,BILL_VERSION,REVENUE_START_DAT,REVENUE_END_DAT,REVENUE_FEED_ID,REVENUE_CHARGE_TYPE_ID,REVENUE_CHARGE_TYPE_VALUE,BILL_REVENUE_FEED_SEQ,INVOICED_CHARGE_BOO,CREATED_DTM,GROUP_ATTR_1,GROUP_ATTR_2,GROUP_ATTR_3,GROUP_ATTR_4,GROUP_ATTR_5,GROUP_ATTR_6,GROUP_ATTR_7,GROUP_ATTR_8,GROUP_ATTR_9,GROUP_ATTR_10,GROUP_ATTR_11,GROUP_ATTR_12,SUM_ATTR_1_VALUE,SUM_ATTR_2_VALUE,SUM_ATTR_3_VALUE,SUM_ATTR_4_VALUE,SUM_ATTR_5_VALUE,SUM_ATTR_6_VALUE,TAX_INCLUSIVE_CHARGE_MNY,RE_CALCULATED_CHARGE_MNY,RE_ENGINEERED_CHRG_GRP_SEQ,GROUP_ATTR_13,GROUP_ATTR_14,GROUP_ATTR_15,GROUP_ATTR_16,GROUP_ATTR_17,GROUP_ATTR_18,GROUP_ATTR_19,GROUP_ATTR_20,history_date
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,1,T,1-Jun-19,1000101,1,,,,,,,,,,,8210,2,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,2,T,1-Jun-19,1100101,1,,,,,,,,,,,59100,3,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,3,T,1-Jun-19,1100201,1,,,,,,,,,,,30,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,4,T,1-Jun-19,1100501,2,,,,,,,,,,,259740,2,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,5,T,1-Jun-19,1100601,2,,,,,,,,,,,3000,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,6,T,1-Jun-19,1200101,1,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,6-May-19,-1,1,Normal charge,7,T,1-Jun-19,1200401,1,,,,,,,,,,,30000,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,1-Jun-19,1-Jun-19,-1,1,Normal charge,8,T,1-Jun-19,9900101,1,,,,,,,,,,,9730,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,6-May-19,1,1,Normal charge,1,T,1-Jun-19,34,104,,1200401,40,,34,,,,,,30000,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,6-May-19,1,1,Normal charge,2,T,1-Jun-19,34,105,,1201001,46,,34,,,,,,0,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,6-May-19,1,1,Normal charge,3,T,1-Jun-19,34,106,,1201001,46,,34,,,,,,0,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,4,T,1-Jun-19,12,2,,-1,16,7000030004,12,,,,,,0,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,5,T,1-Jun-19,12,2,,-1,3,7000030004,12,,,,,,0,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,6,T,1-Jun-19,12,4,,1100101,1,7000030004,12,,,,,,23400,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,7,T,1-Jun-19,12,4,,1100101,15,7000030004,12,,,,,,23400,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,8,T,1-Jun-19,12,4,,1100101,18,7000030004,12,,,,,,12300,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,9,T,1-Jun-19,12,5,,1100501,17,7000030004,12,,,,,,129870,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,10,T,1-Jun-19,12,5,,1100501,4,7000030004,12,,,,,,129870,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,11,T,1-Jun-19,12,7,,1100201,2,7000030004,12,,,,,,30,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,12,T,1-Jun-19,12,7,,1100601,5,7000030004,12,,,,,,3000,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,13,T,1-Jun-19,6,1,,1000101,362,,6,Standard Voice Plan,Plan Charges,,,,8210,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,14,T,1-Jun-19,6,2,,-1,363,,6,Data 5 GB,Plan Charges,,,,0,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,15,T,1-Jun-19,6,3,,-1,375,,6,International Roaming,Plan Charges,,,,0,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,16,T,1-Jun-19,6,4,,1000101,364,,6,Voice,Plan Charges,,,,0,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,17,T,1-Jun-19,6,5,,-1,376,,6,International Calls,Plan Charges,,,,0,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,18,T,1-Jun-19,6,6,,1200101,368,,6,Universal Service Fee,Universal Service Fee,,,,10,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,19,T,1-Jun-19,6,7,,-1,365,,6,SMS,Plan Charges,,,,0,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,1-Jun-19,1-Jun-19,1,1,Normal charge,20,T,1-Jun-19,26,,,9900101,,,,,,,,,9730,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
