ACCOUNT_NUM,SUBS_ID,SUBS_PRODUCT_SEQ,CHARGE_SEQ,CHARGE_NUMBER,DOMAIN_ID,CUSTOMER_REF,PRODUCT_SEQ,PRODUCT_ID,CHARGE_START_DAT,CHARGE_END_DAT,CHARGE_COST_MNY,CHARGE_TYPE_ID,CHARGE_TYPE_VALUE,CHARGE_SUB_TYPE_ID,CHARGE_SUB_TYPE_VALUE,TARIFF_ID,REVENUE_CODE_ID,REVENUE_CODE_VALUE,CPS_ID,TAXCODE_ID,TAXCODE_VALUE,PERCENTAGE_PCT,PRODUCT_QUANTITY,PRODUCT_AGE,BPC_STATUS_ID,BPC_STATUS_VALUE,CREATED_DTM,ANCHOR_DAT,TARIFF_VERSION,RECEIVABLE_CLASS_ID,IN_ADVANCE_BOO,BUDGET_CENTRE_SEQ,PACKAGE_SEQ,PACKAGE_ID,PRODUCT_PACKAGE_INSTANCE,PARENT_PRODUCT_SEQ,ADDITIONS_QUANTITY,TERMINATIONS_QUANTITY,PACKAGE_BASIC_TARIFF_ID,PACKAGE_BASIC_COST_MNY,PACKAGE_DISC_REV_CODE_ID,PRE_OVERRIDE_COST_MNY,OVERRIDE_REV_CODE_ID,EARLY_TERM_MULT_COST_MNY,EARLY_TERM_MULT_REV_CODE_ID,CONTRACT_REF,CONTRACT_TERM,CONTRACT_TERM_UNITS,PRODUCT_ATTR_1,PRODUCT_ATTR_2,PRODUCT_ATTR_3,PRODUCT_ATTR_4,PRODUCT_ATTR_5,PRODUCT_ATTR_6,OVERRIDE_NUMBER,OVERRIDE_MOD_TYPE_ID,OVERRIDE_MOD_TYPE_VALUE,AGE_DEPENDENT_PRICE_ID,ADP_FROM_NUMBER,ADP_TO_NUMBER,ADP_PERIOD_UNITS,PRE_ADP_COST_MNY,ADP_RECUR_DISC_REV_CODE_ID,FULL_PERIOD_COST_MNY,CHARGE_START_DTM,CHARGE_END_DTM,ACTIVATION_RULE,SUSPENSION_RULE,REACTIVATION_RULE,TERMINATION_RULE,REV_RECOGNITION_CLASS_ID,CHARGE_SOURCE,CONTRACT_START_DAT,CONTRACT_TYPE_ID,TAX_RATE_PCT,TAX_RATE_MNY,TAX_RATE_CURRENCY_CODE,COG_MEMBER_QTY,ACCUMULATED_POINTS,REDEEMED_POINTS,PRE_LOYALTY_COST_MNY,PRICE_ATTR_1,PRICE_ATTR_2,PRICE_ATTR_3,PRICE_ATTR_4,PRICE_ATTR_5,PRICE_ATTR_6,SPLIT_CHARGE_AMOUNT_MNY,PRE_SPLIT_FULL_PERIOD_COST_MNY,SPLIT_CHARGE_SOURCE,ACTUAL_CHARGE_START_DAT,ACTUAL_CHARGE_END_DAT,BILL_SEQ,BILL_VERSION,BILL_DTM,history_date
513084533,12312312,3,1,1,197590447,513084533,1,362,13-May-19,31-May-19,18260,2,Periodic,201,Standard recurring,1394,1000301,,1,1,Tax 10 %,10000,1,0,1,Charged,13-May-19,1-Jun-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1-Jun-19,2020-10-04-00-00-00
513084533,12312312,3,2,1,197590447,513084533,1,362,1-Jun-19,30-Jun-19,29800,2,Periodic,201,Standard recurring,1394,1000301,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Jul-19,1-Jul-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Jul-19,2020-10-04-00-00-00
ACC_20190513085802,764587567,1,1,1,19227503,CUST_20190513085802,1,362,10-Jul-19,31-Jul-19,6240,2,Periodic,201,Standard recurring,1389,1000401,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1-Aug-19,2020-10-04-00-00-00
513084533,12312312,3,3,1,197590447,513084533,1,362,1-Jul-19,31-Jul-19,29800,2,Periodic,201,Standard recurring,1394,1000301,,1,1,Tax 10 %,10000,1,1,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,3,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,1,895421682,100003721,2,379,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1335,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,2,895421682,100003721,3,365,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1573,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,3,895421682,100003721,4,363,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1499,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,4,895421682,100003721,5,364,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1558,1000201,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Option Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,5,895421682,100003721,6,366,5-Jul-19,31-Jul-19,2610,2,Periodic,201,Standard recurring,1504,2100301,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,5,,,,,,,,,,,,,Option Charges,,,,,,,,,,,,,,,3000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,6,895421682,100003721,7,376,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1617,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,5,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,7,895421682,100003721,8,367,5-Jul-19,31-Jul-19,1740,2,Periodic,201,Standard recurring,1507,2100501,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,5,,,,,,,,,,,,,Option Charges,,,,,,,,,,,,,,,2000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,8,895421682,100003721,9,372,5-Jul-19,31-Jul-19,3480,2,Periodic,201,Standard recurring,1502,2100701,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Third-Party Option Charges,,,,,,,,,,,,,,,4000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,9,895421682,100003721,10,373,5-Jul-19,31-Jul-19,3040,2,Periodic,201,Standard recurring,1497,2100201,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Third-Party Option Charges,,,,,,,,,,,,,,,3500,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,10,895421682,100003721,11,425,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1634,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,11,895421682,100003721,12,371,5-Jul-19,31-Jul-19,2610,2,Periodic,201,Standard recurring,1501,2100401,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Third-Party Option Charges,,,,,,,,,,,,,,,3000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,12,895421682,100003721,13,368,5-Jul-19,4-Aug-19,30,2,Periodic,201,Standard recurring,1623,1200101,,1,2,Tax 0 %,10000,1,0,1,Charged,1-Aug-19,5-Jul-19,1,-1,F,,,,,,,,,,,,,,,,,,Universal Service Fee,,,,,,,,,,,,,,,30,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,13,895421682,100003721,14,374,5-Jul-19,31-Jul-19,2170,2,Periodic,201,Standard recurring,1498,2100201,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Third-Party Option Charges,,,,,,,,,,,,,,,2500,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,14,895421682,100003721,15,411,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1322,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,15,895421682,100003721,17,380,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1329,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,16,895421682,100003721,18,373,5-Jul-19,31-Jul-19,3040,2,Periodic,201,Standard recurring,1497,2100201,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Third-Party Option Charges,,,,,,,,,,,,,,,3500,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,17,895421682,100003721,19,368,5-Jul-19,4-Aug-19,30,2,Periodic,201,Standard recurring,1623,1200101,,1,2,Tax 0 %,10000,1,0,1,Charged,1-Aug-19,5-Jul-19,1,-1,F,,,,,,,,,,,,,,,,,,Universal Service Fee,,,,,,,,,,,,,,,30,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,18,895421682,100003721,20,364,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1563,1000301,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Option Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,19,895421682,100003721,21,376,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1617,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,20,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,20,895421682,100003721,22,366,5-Jul-19,31-Jul-19,2610,2,Periodic,201,Standard recurring,1504,2100301,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,20,,,,,,,,,,,,,Option Charges,,,,,,,,,,,,,,,3000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,21,895421682,100003721,23,372,5-Jul-19,31-Jul-19,3480,2,Periodic,201,Standard recurring,1502,2100701,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Third-Party Option Charges,,,,,,,,,,,,,,,4000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,22,895421682,100003721,24,425,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1634,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,23,895421682,100003721,25,374,5-Jul-19,31-Jul-19,2170,2,Periodic,201,Standard recurring,1498,2100201,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Third-Party Option Charges,,,,,,,,,,,,,,,2500,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,24,895421682,100003721,26,371,5-Jul-19,31-Jul-19,2610,2,Periodic,201,Standard recurring,1501,2100401,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Third-Party Option Charges,,,,,,,,,,,,,,,3000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,25,895421682,100003721,27,365,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1573,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
ACC_20190513081437,9852346234,1,1,1,327993354,CUST_20190513081437,1,362,13-May-19,31-May-19,5390,2,Periodic,201,Standard recurring,1389,1000401,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Jun-19,1-Jun-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1-Jun-19,2020-10-04-00-00-00
521030514,4121451,3,1,1,69620447,521030514,1,362,21-May-19,31-May-19,10570,2,Periodic,201,Standard recurring,1394,1000301,,1,1,Tax 10 %,10000,1,0,1,Charged,21-May-19,1-Jun-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1-Jun-19,2020-10-04-00-00-00
521030514,4121451,3,2,1,69620447,521030514,1,362,1-Jun-19,30-Jun-19,29800,2,Periodic,201,Standard recurring,1394,1000301,,1,1,Tax 10 %,10000,1,0,1,Charged,10-Jul-19,1-Jul-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,4,1,1-Jul-19,2020-10-04-00-00-00
521030514,4121451,3,3,1,69620447,521030514,1,362,1-Jul-19,31-Jul-19,29800,2,Periodic,201,Standard recurring,1394,1000301,,1,1,Tax 10 %,10000,1,1,1,Charged,10-Jul-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,5,1,1-Aug-19,2020-10-04-00-00-00
ACC_20190513081437,9852346234,1,4,1,327993354,CUST_20190513081437,2,400,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1360,-1,,1,1,Tax 10 %,10000,1,2,1,Charged,1-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,4,1,1-Sep-19,2020-10-04-00-00-00
