CUSTOMER_REF,ACCOUNT_NUM,BILL_SEQ,BILL_DTM,BILL_TYPE_ID,BILL_TYPE_VALUE,BALANCE_FWD_MNY,INVOICE_NET_MNY,INVOICE_TAX_MNY,PAYMENTS_MNY,FAILED_PAYMENTS_MNY,ADJUSTMENTS_MNY,REFUNDS_MNY,BALANCE_OUT_MNY,EBD_EMAIL_STATUS,POINTS_FWD,POINTS_EARNED,POINTS_ADJUSTED,POINTS_REDEEMED,POINTS_OUT,TRANS_BILLED_TO_DTM,EVENT_BILLED_TO_DTM,TAX_POINT_DAT,OUTSTANDING_DEBT_MNY,CHASE_DEBT_MNY,CURRENT_DISPUTE_MNY,MODIFICATION_DAYS,CREDIT_ADJ_BILLED_TO_DTM,DEBIT_ADJ_BILLED_TO_DTM,LOYALTY_TRANS_BILLED_TO_DTM,EVENT_SEQ,INFO_INVOICE_MNY,INFO_CURRENCY_CODE_ID,INFO_CURRENCY_CODE_VALUE,STATEMENT_BOO,BILL_SETTLED_BOO,EVENT_ARCHIVE_STATUS_ID,EVENT_ARCHIVE_STATUS_VALUE,INVOICE_NUM,ACTUAL_BILL_DTM,START_OF_BILL_DTM,BILL_VERSION,BILL_STATUS_ID,BILL_STATUS_VALUE,CANCELLATION_REQUEST_DAT,CANCELLATION_DTM,REPLACES_INVOICE_NUM,BILLED_WITH_BILL_SEQ,CANCELLED_REASON_TXT,ARCHIVE_DAT,INVOICE_NUM_STATUS_ID,INVOICE_NUM_STATUS_VALUE,INVOICE_REGISTER_ID,CHARGE_SEQ,DEBT_START_DAT,PAYMENT_DUE_DAT,BILL_HANDLING_CODE,OCR_NUM,BILL_SETTLED_DTM,EVENT_MASKED_BOO,BILL_LABEL,EVENT_DEL_NO_ARCHIVE_BOO,MIN_BILLED_EVENT_DTM,MAX_BILLED_EVENT_DTM,MIN_RERATED_EVENT_DTM,MAX_RERATED_EVENT_DTM,DISCOUNTED_RERATING_BOO,DOMAIN_ID,UST_CURRENCY_CODE,COLLECTION_NOTIFY_BOO,ADFG_PROCESSED_DTM,BILLING_OFFER_ID,OTC_MNY,OTC_BILLED_TO_DTM,OVERRIDE_BILL_DTM,LATE_FEE_MNY,DEFERRED_CHARGES_TOT,OVERWRITTEN_DEF_CHARGE_TOT,SETTLEUP_CHARGES_TOT,OEFR_CREATED_BOO,PA_DP_INVOICE_BILL_MNY,PA_FED_INVOICE_DUE_MNY,PA_FED_INVOICE_BILL_MNY,PA_PAYMENT_MNY,POINTS_EXPIRED,FDE_EXTRACT_ID,UST_LINESANDLOCS_DETAIL_LEVEL,UST_LINESANDLOCS_BILLED_TO_DAT,UST_MAXTAX_TRANSACTION_STATUS,HISTORY_DATE
100000024,1000000003,1,1-Jun-19,1,periodic,0,360090,9730,0,0,0,0,369820,,0,0,0,0,0,1-Jun-19,1-Jun-19,1-Jun-19,369820,369820,0,0,1-Jun-19,1-Jun-19,1-Jun-19,1,369820,EUR,European currency,T,F,,,2.02E+14,1-Jun-19,6-May-19,1,1,created,,,,,,31-Jul-19,2,Printed,,1,1-Jul-19,1-Jul-19,,,,F,,,10-May-19,10-May-19,,,F,597284603,,F,,,30000,1-Jun-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
513084533,513084533,1,1-Jun-19,1,periodic,0,18260,1820,0,0,0,0,20080,,0,0,0,0,0,13-May-19,1-Jun-19,1-Jun-19,20080,20080,0,0,13-May-19,13-May-19,13-May-19,1,,EUR,European currency,T,F,,,2.02E+14,13-May-19,13-May-19,1,1,created,,,,,,31-Jul-19,2,Printed,,1,1-Jul-19,1-Jul-19,ELEC,,,F,,,,,,,F,197590447,,F,,,0,13-May-19,1-Jun-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
513084533,513084533,2,1-Jul-19,1,periodic,20080,29800,2980,0,0,0,0,52860,,0,0,0,0,0,1-Jul-19,1-Jul-19,1-Jul-19,32780,32780,0,0,1-Jul-19,1-Jul-19,1-Jul-19,2,,EUR,European currency,T,F,,,2.02E+14,1-Jul-19,1-Jun-19,1,1,created,,,,,,30-Aug-19,2,Printed,,2,1-Aug-19,1-Aug-19,ELEC,,,F,,,,,,,F,197590447,,F,,,0,1-Jul-19,1-Jul-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190513085802,ACC_20190513085802,1,1-Aug-19,1,periodic,0,6240,620,0,0,0,0,6860,,0,0,0,0,0,1-Aug-19,1-Aug-19,1-Aug-19,6860,,0,0,1-Aug-19,1-Aug-19,1-Aug-19,1,,EUR,European currency,T,F,,,2.02E+14,1-Aug-19,10-Jul-19,1,1,created,,,,,,30-Sep-19,2,Printed,,1,1-Sep-19,1-Sep-19,ELEC,,,F,,,,,,,F,19227503,,F,,,0,1-Aug-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
513084533,513084533,3,1-Aug-19,1,periodic,52860,33800,3380,0,0,0,0,90040,,0,0,0,0,0,1-Aug-19,1-Aug-19,1-Aug-19,37180,37180,0,0,1-Aug-19,1-Aug-19,1-Aug-19,3,,EUR,European currency,T,F,,,2.02E+14,1-Aug-19,1-Jul-19,1,1,created,,,,,,30-Sep-19,2,Printed,,3,1-Sep-19,1-Sep-19,ELEC,,,F,,,,,,,F,197590447,,F,,,4000,1-Aug-19,1-Aug-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
513084533,513084533,4,1-Sep-19,1,periodic,90040,2000,200,0,0,0,0,92240,,0,0,0,0,0,1-Sep-19,1-Sep-19,1-Sep-19,2200,2200,0,0,1-Sep-19,1-Sep-19,1-Sep-19,4,,EUR,European currency,T,F,,,2.02E+14,1-Sep-19,1-Aug-19,1,1,created,,,,,,31-Oct-19,2,Printed,,4,1-Oct-19,1-Oct-19,ELEC,,,F,,,,,,,F,197590447,,F,,,2000,1-Sep-19,1-Sep-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
513084533,513084533,5,1-Oct-19,4,termination,92240,2000,200,0,0,0,0,94440,,0,0,0,0,0,1-Oct-19,1-Oct-19,9-Oct-19,2200,2200,0,0,9-Oct-19,9-Oct-19,1-Oct-19,5,,EUR,European currency,T,F,,,2.02E+14,9-Oct-19,1-Sep-19,1,1,created,,,,,,30-Nov-19,2,Printed,,5,1-Nov-19,1-Nov-19,ELEC,,,F,,,,,,,F,197590447,,F,,,2000,1-Oct-19,9-Oct-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
521030514,521030514,6,9-Aug-19,9,On demand bill,0,2000,200,0,0,0,0,2200,,0,0,0,0,0,9-Aug-19,1-Aug-19,28-Aug-20,2200,2200,0,0,10-Jul-19,10-Jul-19,10-Jul-19,,,EUR,European currency,T,F,,,2.02E+14,28-Aug-20,1-Aug-19,1,28,On-Demand bill Created,,,,,,8-Oct-19,2,Printed,,,29-Aug-20,29-Aug-20,ELEC,,,F,,,,,,,F,69620447,,F,,,2000,10-Jul-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
521030514,521030514,8,11-Aug-19,9,On demand bill,0,2000,200,0,0,0,0,2200,,0,0,0,0,0,11-Aug-19,1-Aug-19,28-Aug-20,2200,,0,0,10-Jul-19,10-Jul-19,10-Jul-19,,,EUR,European currency,T,F,,,2.02E+14,28-Aug-20,1-Aug-19,1,28,On-Demand bill Created,,,,,,10-Oct-19,2,Printed,,,29-Aug-20,29-Aug-20,ELEC,,,F,,,,,,,F,69620447,,F,,,2000,10-Jul-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190513081437,ACC_20190513081437,1,1-Jun-19,1,periodic,0,5390,530,0,0,0,0,5920,,0,0,0,0,0,1-Jun-19,1-Jun-19,1-Jun-19,5920,,0,0,1-Jun-19,1-Jun-19,1-Jun-19,1,,EUR,European currency,T,F,,,2.02E+14,1-Jun-19,13-May-19,1,1,created,,,,,,31-Jul-19,2,Printed,,1,1-Jul-19,1-Jul-19,ELEC,,,F,,,,,,,F,327993354,,F,,,0,1-Jun-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
