customer_ref,customer_id,account_num,billing_account_id,subs_id,bpi_id,sales_order_id,order_item_id,distribution_channel_id,distribution_channel_value,is_inflight,shop_id,initiating_system_id,initiating_system_value,parent_id,location_id,processed_when_date,end_processed_date,prev_status_id,prev_status_value,status_id,status_value,status_change_reason,is_status_changed,date_change_status,prev_productoffering_template_id,prev_productoffering_template_name,prev_productoffering_id,prev_productoffering_name,prev_productoffering_weight,prev_productoffering_bil_spec_id,prev_productoffering_bil_spec_value,prev_productoffering_type_id,prev_productoffering_type_value,productoffering_template_id,productoffering_template_name,productoffering_id,productoffering_name,productoffering_weight,productoffering_bil_spec_id,productoffering_bil_spec_value,productoffering_type_id,productoffering_type_value,is_productoffering_changed,date_change_productoffering,prev_billing_account_id,is_billing_account_changed,date_change_billing_account,prev_bpi_discount_mrc,prev_bpi_mrc,prev_bpi_total_mrc,prev_bpi_tax_mrc,prev_rec_basic_total_discount,prev_rec_basic_total_price,bpi_discount_mrc,bpi_mrc,bpi_total_mrc,bpi_tax_mrc,recurrent_basic_total_discount,recurrent_basic_total_price,is_price_changed,date_change_price,history_date
1000163970,9158143996613256377,2000163931,9158144007313256525,9158144036913257243,9158144036913257243,9158144005213257083,9158144011413257011,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144010413257011,NULL,2020-08-27 10:51:07,NULL,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-27 10:51:07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156599352065809235,Mobile Line Template,6500000000,Mobile Line,NULL,9156599279465679885,Mobile Line,9125737315713245976,Product Offering,Yes,2020-08-27 10:51:07,NULL,Yes,2020-08-27 10:51:07,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.00,Yes,2020-08-27 10:51:07,2020-10-04-00-00-00
1000164028,9158144290513275624,2000163969,9158144296013275724,9158144357213277157,9158144357213277157,9158144316213276321,9158144314513276380,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144316213276321,NULL,2020-08-27 11:40:19,2020-08-27 11:54:27,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-27 11:40:19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156599352065809159,Mobile Prepaid Plan Template,6400000002,Mobile Prepaid 6 GB,3,9156599279465679870,Mobile Prepaid,9125737315713245976,Product Offering,Yes,2020-08-27 11:40:19,NULL,Yes,2020-08-27 11:40:19,NULL,NULL,NULL,NULL,NULL,NULL,5.40,22.46,40.83,1.68,5.14,38.89,Yes,2020-08-27 11:40:19,2020-10-04-00-00-00
1000164028,9158144290513275624,2000163969,9158144296013275724,9158144351313277157,9158144351313277157,9158144316213276321,9158144315513276380,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144314513276380,NULL,2020-08-27 11:40:19,2020-08-27 11:54:27,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-27 11:40:19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156599352065809235,Mobile Line Template,6500000000,Mobile Line,NULL,9156599279465679885,Mobile Line,9125737315713245976,Product Offering,Yes,2020-08-27 11:40:19,NULL,Yes,2020-08-27 11:40:19,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00,18.37,0.87,0.00,17.50,Yes,2020-08-27 11:40:19,2020-10-04-00-00-00
1000164028,9158144290513275624,2000163969,9158144296013275724,9158144350413277190,9158144350413277190,9158144316213276321,9158144327513276484,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144315513276380,NULL,2020-08-27 11:40:19,NULL,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-27 11:40:19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156599352065809167,Roaming Data Template,6600000006,Roaming Data 300MB,NULL,9156599279465679875,Roaming,9125737315713245976,Product Offering,Yes,2020-08-27 11:40:19,NULL,Yes,2020-08-27 11:40:19,NULL,NULL,NULL,NULL,NULL,NULL,0.00,5.25,5.25,0.25,0.00,5.00,Yes,2020-08-27 11:40:19,2020-10-04-00-00-00
1000164028,9158144290513275624,2000163969,9158144296013275724,9158144353413277190,9158144353413277190,9158144316213276321,9158144335013276639,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144315513276380,NULL,2020-08-27 11:40:19,NULL,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-27 11:40:19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156599352065809195,Call Display Template,6500000006,Call Display,NULL,9156599279465679872,Calling Feature,9125737315713245976,Product Offering,Yes,2020-08-27 11:40:19,NULL,Yes,2020-08-27 11:40:19,NULL,NULL,NULL,NULL,NULL,NULL,0.00,3.41,3.41,0.16,0.00,3.25,Yes,2020-08-27 11:40:19,2020-10-04-00-00-00
1000164069,9158144476313279253,2000164019,9158144600913282343,9158144621513283438,9158144621513283438,9158144537613280757,9158144531813280757,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144530813280757,NULL,2020-08-27 12:30:32,NULL,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-27 12:30:32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156599352065809235,Mobile Line Template,6500000000,Mobile Line,NULL,9156599279465679885,Mobile Line,9125737315713245976,Product Offering,Yes,2020-08-27 12:30:32,NULL,Yes,2020-08-27 12:30:32,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00,6.82,0.32,0.00,6.50,Yes,2020-08-27 12:30:32,2020-10-04-00-00-00
1000164091,9158144540213280933,2000164014,9158144556713280926,9158144590813281995,9158144590813281995,9158144552113281134,9158144566413281158,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144565413281158,NULL,2020-08-29 00:00:26,NULL,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-29 00:00:26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156599352065809235,Mobile Line Template,6500000000,Mobile Line,NULL,9156599279465679885,Mobile Line,9125737315713245976,Product Offering,Yes,2020-08-29 00:00:26,NULL,Yes,2020-08-29 00:00:26,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.00,Yes,2020-08-29 00:00:26,2020-10-04-00-00-00
1000164092,9158144558513281034,2000164018,9158144590413281726,9158144614013282722,9158144614013282722,9158144566213281398,9158144569313281398,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144566213281398,NULL,2020-08-27 12:22:23,NULL,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-27 12:22:23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156599352065809159,Mobile Prepaid Plan Template,6400000000,Mobile Prepaid 1.5 GB,1,9156599279465679870,Mobile Prepaid,9125737315713245976,Product Offering,Yes,2020-08-27 12:22:23,NULL,Yes,2020-08-27 12:22:23,NULL,NULL,NULL,NULL,NULL,NULL,3.15,11.22,11.22,0.38,3.00,10.69,Yes,2020-08-27 12:22:23,2020-10-04-00-00-00
1000164093,9158144565713281158,2000164015,9158144565313281258,9158144629813283013,9158144629813283013,9158144586613281598,9158144606313282203,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144586113281698,NULL,2020-08-27 12:24:02,NULL,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-27 12:24:02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156599352065809167,Roaming Data Template,6600000006,Roaming Data 300MB,NULL,9156599279465679875,Roaming,9125737315713245976,Product Offering,Yes,2020-08-27 12:24:02,NULL,Yes,2020-08-27 12:24:02,NULL,NULL,NULL,NULL,NULL,NULL,0.00,5.25,5.25,0.25,0.00,5.00,Yes,2020-08-27 12:24:02,2020-10-04-00-00-00
1000164095,9158144583813281598,2000164017,9158144593713281626,9158144621213283876,9158144621213283876,9158144605813282103,9158144607813282212,9153174608013224016,Telesales,No,NULL,9148223396313661753,Order Entry,9158144606813282212,NULL,2020-08-27 12:27:34,NULL,NULL,NULL,9132857804713527191,Active,NULL,Yes,2020-08-27 12:27:34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156936335365761825,Mobile Line Postpaid Template,5600000000,Mobile Line Postpaid,NULL,9156599279465679885,Mobile Line,9125737315713245976,Product Offering,Yes,2020-08-27 12:27:34,NULL,Yes,2020-08-27 12:27:34,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00,15.75,0.75,0.00,15.00,Yes,2020-08-27 12:27:34,2020-10-04-00-00-00
