customer_ref,incident_ticket_value,incident_ticket_id,affected_product,affected_product_standalone,assigned_to_group_id,assigned_to_group_value,assigned_to_user_id,assigned_to_user_value,ticket_category_id,channel_of_notification_id,channel_of_notification_value,ticket_check_id,ticket_category_value,ticket_check_value,ticket_element_value,closed_by_id,closed_by_value,close_cause,close_cause_code,closure_code_level_1_id,closure_code_level_1_value,closure_code_level_2_id,closure_code_level_2_value,closure_code_level_3_id,closure_code_level_3_value,closure_code_level_4_id,closure_code_level_4_value,created_by_value,created_by_id,created_when,custom_ola_start_date,date_closed,date_created,date_opened,ticket_element_id,escalation_status_id,escalation_status_value,expected_resolution_date,incident_severity_id,incident_severity_value,jeopardy_level_id,jeopardy_level_value,jeopardy_time_days,modified_by_value,modified_when,ticket_priority_id,ticket_priority_value,resolution_date,resolution_state_id,resolution_state_value,resolved_by_id,resolved_by_value,source_system,source_system_id,source_system_value,ticket_type_id,ticket_type_value,history_date
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
1000164013,CIT-082020-000001,9158144217213273456,NULL,NULL,9156495536113843000,Technical Support,9130663430013016312,NULL,9156261359813830160,NULL,NULL,9156261759013830426,Mobile Service Incident,-,Low Download speed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,111,2020-08-27 11:16:23,NULL,NULL,2020-08-27 11:16:23,NULL,9156261599613830360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sysadm,2020-08-27 11:16:23,7091950761013643906,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9156261593613830360,Mobile Internet problems,2020-10-04-00-00-00
