customer_ref,customer_id,account_num,ocs_subscription_id,ocs_subscriber_id,billing_account_id,subs_id,bpi_id,subs_status_id,subs_status_value,billing_status_id,billing_status_value,actual_start_date,actual_end_date,location_id,sequence_number,otc_sequence_number,last_sales_order_id,shop_id,processed_when_date,is_inflight,initiating_system_id,initiating_system_value,distribution_channel_id,distribution_channel_value,bpi_discount_mrc,bpi_tax_mrc,bpi_total_mrc,bpi_mrc,recurrent_basic_total_discount,recurrent_basic_total_price,productoffering_template_id,productoffering_template_name,productoffering_id,productoffering_name,productoffering_weight,productoffering_bil_spec_id,productoffering_bil_spec_value,productoffering_type_id,productoffering_type_value,parent_id,status_change_reason,history_date,customer_category_id,customer_category_value,tariff_plan_id,tariff_plan_name,cash_balance_id,data_allowance,date,extraction_timestamp,sms_allowance,voice_allowance,external_id
1000163940,9157818000000000001,2000263934,AB000001,436607000001.0,9157000010000000001,9158818010000000001,9158818010000000001,9132857804713527193,Active,9141504170013676277,Active,2020-08-21 00:01:00,,,1,,9157818042413000001,,2020-08-21 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010001,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
1000163941,9157818100000000002,2000263935,AB000002,436607000002.0,9157000010000000002,9158818010000000002,9158818010000000002,9132857804713527193,Active,9141504170013676277,Active,2020-08-22 00:01:00,,,1,,9157818042413000002,,2020-08-22 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010002,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
1000163942,9157818200000000003,2000263936,AB000003,436607000003.0,9157000010000000003,9158818010000000003,9158818010000000003,9132857804713527193,Active,9141504170013676277,Active,2020-08-23 00:01:00,,,1,,9157818042413000003,,2020-08-23 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010003,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
1000163943,9157818300000000004,2000263937,AB000004,436607000004.0,9157000010000000004,9158818010000000004,9158818010000000004,9132857804713527193,Active,9141504170013676277,Active,2020-08-24 00:01:00,,,1,,9157818042413000004,,2020-08-24 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010004,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
1000163944,9157818400000000005,2000263938,AB000005,436607000005.0,9157000010000000005,9158818010000000005,9158818010000000005,9132857804713527193,Active,9141504170013676277,Active,2020-08-25 00:01:00,,,1,,9157818042413000005,,2020-08-25 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010005,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
1000163945,9157818500000000006,2000263939,AB000006,436607000006.0,9157000010000000006,9158818010000000006,9158818010000000006,9132857804713527193,Active,9141504170013676277,Active,2020-08-26 00:01:00,,,1,,9157818042413000006,,2020-08-26 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010006,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
1000163946,9157818600000000007,2000263940,AB000007,436607000007.0,9157000010000000007,9158818010000000007,9158818010000000007,9132857804713527193,Active,9141504170013676277,Active,2020-08-27 00:01:00,,,1,,9157818042413000007,,2020-08-27 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010007,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
1000163947,9157818700000000008,2000263941,AB000008,436607000008.0,9157000010000000008,9158818010000000008,9158818010000000008,9132857804713527193,Active,9141504170013676277,Active,2020-08-28 00:01:00,,,1,,9157818042413000008,,2020-08-28 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010008,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
1000163948,9157818800000000009,2000263942,AB000009,436607000009.0,9157000010000000009,9158818010000000009,9158818010000000009,9132857804713527193,Active,9141504170013676277,Active,2020-08-29 00:01:00,,,1,,9157818042413000009,,2020-08-29 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010009,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
1000163949,9157818900000000010,2000263943,AB000010,436607000010.0,9157000010000000010,9158818010000000010,9158818010000000010,9132857804713527193,Active,9141504170013676277,Active,2020-08-30 00:01:00,,,1,,9157818042413000010,,2020-08-30 00:01:00,No,9148223396313661755,Order Entry,9153174608013224018,Telesales,3.15,19.31,22.46,22.46,3.0,21.39,9156599352065809161,Mobile Prepaid Plan Template,6400000004,Mobile Prepaid 6 GB,3.0,9156599279465679872,Mobile Prepaid,9125737315713245976,Product Offering,9157818076520010010,,9/9/2020,9145846203913115265,Consumer,6400000004,Mobile Prepaid 6 GB,NULL,NULL,9/9/2020,9/9/2020,NULL,NULL,
