contact_method_id,contact_type_method_id,is_preferred_flag,email_type_id,email_type_value,mobile_type_id,mobile_type_value,contact_days,contact_hours,phone_type_id,phone_type_value,social_profile_type_id,social_profile_type_value,method_end_date,extraction_timestamp,date,history_date
9154793098813366510,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-13 09:16:39.0,2020-11-13,2020-11-13-09-16-39
9158602850613908700,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602851713908874,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602858113908865,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602858713908765,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602866713909375,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602876013909726,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602876013909843,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602881013910694,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602888613910124,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602889213910694,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602889413910460,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602896513910941,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602897013911192,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602909813911101,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602939813911427,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602940913912659,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946013912759,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946813912763,9134256590013157288,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602947813912763,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602949013912970,9147359779513855381,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605074213978800,9147359779513855381,No,NULL,NULL,9135207080013612944,Mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158742351913302860,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9154793098813366511,9147359779513855381,No,NULL,NULL,9135207080013612944,Mobile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-13 09:16:39.0,2020-11-13,2020-11-13-09-16-39
9158602866113909243,9134256590013157288,No,9135207080013612935,Email,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602866513909475,9147359779513855381,No,NULL,NULL,9135207080013612947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
