accounting_method_id,accounting_method_value,attr_type_def_id
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
9135456871313516983,Balance Forward,9135456871313516982
9135456871313516987,Open Item,9135456871313516982
