channel_of_notification_id,channel_of_notification_value,attr_type_def_id
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
9130635331813922067,Phone call,9130635331813922065
9130635331813922068,Email,9130635331813922065
9130635331813922070,Chat,9130635331813922065
9130635331813922071,Other method,9130635331813922065
