resolution_state_id,resolution_state_value,attr_type_def_id
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
9130635331813922088,Resolved,9130635331813922084
9130635331813922091,Unresolved,9130635331813922084
9130635331813922093,Cannot reproduce,9130635331813922084
9130635331813922094,Known issue,9130635331813922084
9130635331813922095,Need more info,9130635331813922084
9130635331813922096,Work around solution,9130635331813922084
