source_class_id,source_class_value,source_class_bitflag,feed_source_bitfield,source_table_value_ora,source_value_col_ora,source_class_desc,extraction_timestamp,date,history_date
4,Event Type Dispute Adjustment,8,21,EVENTTYPE,EVENT_TYPE_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
6,Product Charge (Before Savings),32,21,PRODUCT,PRODUCT_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
16,Banded Discount,32768,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
18,Tax Discount,131072,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
20,Donated Event Discount,524288,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
26,VAT Tax,33554432,5,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
27,US Tax on Charge,67108864,5,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
29,US Tax Rounding,268435456,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
32,Event (Before Billing),2147483648,34,EVENTTYPE,EVENT_TYPE_ID,The source class for events that have been successfully processed by the Rating Engine,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
36,Deposit Request,34359738368,1,DEPOSITREQUEST,DEPOSIT_REQUEST_SEQ,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
40,US Tax in Charge,549755813888,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
43,Loyalty saving,4398046511104,1,NULL,NULL,Charge saving due to purchase through loyalty points redemption,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
45,Invoice Level Dispute Adjustment,17592186044416,21,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
47,Usage Total rounding asper categoryLevel,70368744177664,21,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
3,Product Dispute  Adjustment,4,21,PRODUCT,PRODUCT_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10,Fixed Early Termination Surcharge,512,21,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
12,Event (Before Discounts),2048,21,EVENTTYPE,EVENT_TYPE_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
23,Event Source Rounding,4194304,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
34,One-time Charge,8589934592,21,ONETIMECHARGE,OTC_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
35,One-time Charge Dispute Adjustment,17179869184,21,ONETIMECHARGE,OTC_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,Attributes Always Available to BG & UPRE,1,21,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
9,Age Dependent Pricing Saving,256,21,PRODUCT,PRODUCT_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
14,Pre-Itemisation discount,8192,1,EVENTTYPE,EVENT_TYPE_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
15,Post-Itemization Discount,16384,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
19,Donated Package Discount,262144,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
21,Donated Tax Discount,1048576,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
22,Bill Time Charge,2097152,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
