customer_ref,account_num,bill_seq,deposit_boo,payment_origin_id,payment_origin_name,payment_origin_desc,account_payment_seq,account_payment_mny,account_payment_dat,payment_status_id,payment_status_value,created_dtm,payment_balance_type_id,payment_balance_type_value,physical_payment_seq,account_payment_txt,account_payment_ref,alt_account_payment_mny,alt_currency_code,transfer_acc_no,transfer_acc_pay_seq,linked_writeoff_payment_seq,cancelled_dtm,failed_dtm,adfg_processed_dtm,event_ref,history_date
1000164012,2000163949,NULL,F,1,Physical payment,NULL,1,100000,2020-08-27 00:00:00,1,Created.,2020-08-27 11:14:26,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164069,2000164019,NULL,F,1,Physical payment,NULL,1,20510,2020-08-27 00:00:00,1,Created.,2020-08-27 12:23:53,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164028,2000163969,NULL,F,1,Physical payment,NULL,1,35430,2020-08-27 00:00:00,1,Created.,2020-08-27 11:39:50,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164093,2000164015,NULL,F,1,Physical payment,NULL,2,5250,2020-08-27 00:00:00,1,Created.,2020-08-27 12:31:58,101,Regular payments,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164092,2000164018,NULL,F,1,Physical payment,NULL,1,8070,2020-08-27 00:00:00,1,Created.,2020-08-27 12:22:02,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164018,2000163950,NULL,F,1,Physical payment,NULL,1,666000,2020-08-27 00:00:00,1,Created.,2020-08-27 11:22:12,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164028,2000163969,NULL,F,1,Physical payment,NULL,2,5250,2020-08-27 00:00:00,1,Created.,2020-08-27 11:48:09,101,Regular payments,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164051,2000163991,NULL,F,1,Physical payment,NULL,1,8070,2020-08-27 00:00:00,1,Created.,2020-08-27 12:02:01,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164171,2000164088,NULL,F,1,Physical payment,NULL,1,10000,2020-08-31 00:00:00,1,Created.,2020-08-31 14:32:20,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000163970,2000163931,NULL,F,1,Physical payment,NULL,1,19310,2020-08-27 00:00:00,1,Created.,2020-08-27 10:45:44,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164091,2000164014,NULL,F,1,Physical payment,NULL,1,13690,2020-08-27 00:00:00,1,Created.,2020-08-27 12:19:55,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164093,2000164015,NULL,F,1,Physical payment,NULL,1,26440,2020-08-27 00:00:00,1,Created.,2020-08-27 12:23:33,101,Regular payments,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
