customer_ref,account_num,product_seq,product_id,product_name,product_type,parent_product_seq,cust_order_num,supplier_order_num,suppress_init_charge_boo,suppress_term_charge_boo,suppress_early_term_charge_boo,event_source_count,subscription_boo,subs_product_seq,subscription_ref,template_optional_prod_boo,has_add_on_products_boo,domain_id,history_date
1000164028,2000163969,4,924,Mobile Line,1,NULL,NULL,9158144351313277157,F,F,F,-1,F,1,0000000002,F,F,729759248,2020-10-04-00-00-00
1000164028,2000163969,5,922,Roaming,1,4,NULL,9158144350413277190,F,F,F,-1,F,1,0000000002,F,F,729759248,2020-10-04-00-00-00
1000164028,2000163969,6,921,Calling Feature,1,4,NULL,9158144353413277190,F,F,F,-1,F,1,0000000002,F,F,729759248,2020-10-04-00-00-00
1000164028,2000163969,7,921,Calling Feature,1,4,NULL,9158144359413277190,F,F,F,-1,F,1,0000000002,F,F,729759248,2020-10-04-00-00-00
1000164028,2000163969,8,923,Social Networks,1,4,NULL,9158144354313277157,F,F,F,-1,F,1,0000000002,F,F,729759248,2020-10-04-00-00-00
1000164070,2000164009,1,919,Mobile Prepaid,1,NULL,NULL,9158144519113280103,F,F,F,-1,T,1,0000000004,F,F,24825186,2020-10-04-00-00-00
1000164070,2000164009,3,924,Mobile Line,1,NULL,NULL,9158144513213280103,F,F,F,-1,F,1,0000000004,F,F,24825186,2020-10-04-00-00-00
1000164091,2000164014,2,938,Acquisition Discount $3,1,NULL,NULL,9158144590913281995,F,F,F,-1,F,1,0000000005,F,F,211456839,2020-10-04-00-00-00
1000164093,2000164015,4,921,Calling Feature,1,3,NULL,9158144624713283013,F,F,F,-1,F,1,0000000007,F,F,253576368,2020-10-04-00-00-00
1000164093,2000164015,8,922,Roaming,1,3,NULL,9158144629813283013,F,F,F,-1,F,1,0000000007,F,F,253576368,2020-10-04-00-00-00
1000163970,2000163931,1,919,Mobile Prepaid,1,NULL,NULL,9158144032913257243,F,F,F,-1,T,1,0000000001,F,F,46232338,2020-10-04-00-00-00
1000164028,2000163969,1,919,Mobile Prepaid,1,NULL,NULL,9158144357213277157,F,F,F,-1,T,1,0000000002,F,F,729759248,2020-10-04-00-00-00
1000164051,2000163991,3,924,Mobile Line,1,NULL,NULL,9158144485313279390,F,F,F,-1,F,1,0000000003,F,F,442425723,2020-10-04-00-00-00
1000164092,2000164018,3,924,Mobile Line,1,NULL,NULL,9158144618013282722,F,F,F,-1,F,1,0000000006,F,F,682128229,2020-10-04-00-00-00
1000164093,2000164015,1,919,Mobile Prepaid,1,NULL,NULL,9158144627613283013,F,F,F,-1,T,1,0000000007,F,F,253576368,2020-10-04-00-00-00
1000164095,2000164017,1,925,Mobile Postpaid,1,NULL,NULL,9158144627113283876,F,F,F,-1,T,1,0000000009,F,F,887488855,2020-10-04-00-00-00
1000164095,2000164017,3,924,Mobile Line,1,NULL,NULL,9158144621213283876,F,F,F,-1,F,1,0000000009,F,F,887488855,2020-10-04-00-00-00
