customer_ref,customer_id,account_num,billing_account_id,subs_id,bpi_id,subs_status_id,subs_status_value,billing_status_id,billing_status_value,customer_category_id,customer_category_value,actual_start_date,actual_end_date,location_id,sequence_number,otc_sequence_number,last_sales_order_id,shop_id,processed_when_date,is_inflight,initiating_system_id,initiating_system_value,distribution_channel_id,distribution_channel_value,bpi_discount_mrc,bpi_tax_mrc,bpi_total_mrc,bpi_mrc,recurrent_basic_total_discount,recurrent_basic_total_price,productoffering_template_id,productoffering_template_name,productoffering_id,productoffering_name,productoffering_weight,productoffering_bil_spec_id,productoffering_bil_spec_value,productoffering_type_id,productoffering_type_value,external_id,parent_id,ocs_subscriber_id,cash_balance_id,ocs_subscription_id,tariff_plan_id,tariff_plan_name,status_change_reason,sms_allowance,voice_allowance,data_allowance,extraction_timestamp,date,history_date
1000163933,9158904100513910319,2000163934,9158904113913911555,9158904124713913613,9158904124713913613,9132857804713527191,6#009B00$Active,NULL,NULL,9145846203913115265,Consumer,2020-11-23 10:07:16,NULL,NULL,NULL,NULL,9158904101813910319,NULL,2020-11-23 10:07:20,No,9153817101813286625,SSP,9157882873313995000,App,5.00,0.00,10.00,10.00,5.00,10.00,9157989469565553884,Mobile Prepaid Plan Template,6610000001,VF Red - S Subscription,2,NULL,NULL,9125737315713245976,Product Offering,NULL,9158904102513910319,NULL,NULL,672b73db-06f4-4e65-9538-088c19934efd,6610000001,VF Red - S Subscription,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
1000163932,9158904106013910319,2000163933,9158904114913911453,9158904129313914223,9158904129313914223,9132857804713527191,6#009B00$Active,NULL,NULL,9145846203913115265,Consumer,2020-11-23 10:07:32,NULL,NULL,NULL,NULL,9158904105213910319,NULL,2020-11-23 10:07:35,No,9153817101813286625,SSP,9157882873313995000,App,5.00,0.00,10.00,10.00,5.00,10.00,9157989469565553884,Mobile Prepaid Plan Template,6610000001,VF Red - S Subscription,2,NULL,NULL,9125737315713245976,Product Offering,NULL,9158904108013910319,NULL,NULL,edd78322-44a0-4473-8f10-dae5dbd55d41,6610000001,VF Red - S Subscription,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
1000163942,9158904122313916998,2000163943,9158904131513917862,9158904133713918892,9158904133713918892,9132857804713527191,6#009B00$Active,NULL,NULL,9145846203913115265,Consumer,2020-11-23 10:10:15,NULL,NULL,NULL,NULL,9158904124513916998,NULL,2020-11-23 10:10:18,No,9153817101813286625,SSP,9157882873313995000,App,0.00,0.00,0.00,0.00,0.00,0.00,9157989469565553884,Mobile Prepaid Plan Template,6610000000,VF Blue PAYG,1,NULL,NULL,9125737315713245976,Product Offering,NULL,9158904124313916998,NULL,NULL,NULL,6610000000,VF Blue PAYG,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
1000163938,9158904127613915957,2000163938,9158904122413916897,9158904137313918063,9158904137313918063,9132857804713527191,6#009B00$Active,NULL,NULL,9145846203913115265,Consumer,2020-11-23 10:09:56,NULL,NULL,NULL,NULL,9158904125813915957,NULL,2020-11-23 10:10:04,No,9153817101813286625,SSP,9157882873313995000,App,10.00,0.00,20.00,20.00,10.00,20.00,9157989469565553884,Mobile Prepaid Plan Template,6610000002,VF Red - L Subscription,3,NULL,NULL,9125737315713245976,Product Offering,NULL,9158904129613915957,NULL,NULL,bbcf5fd3-9b81-45bd-8ebe-919a400b59ec,6610000002,VF Red - L Subscription,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
1000163944,9158904140313921235,2000163944,9158904149213922789,9158904153713923760,9158904153713923760,9132857804713527191,6#009B00$Active,NULL,NULL,9145846203913115265,Consumer,2020-11-23 10:13:11,NULL,NULL,NULL,NULL,9158904148613921237,NULL,2020-11-23 10:13:20,No,9153817101813286625,SSP,9157882873313995000,App,10.00,0.00,20.00,20.00,10.00,20.00,9157989469565553884,Mobile Prepaid Plan Template,6610000002,VF Red - L Subscription,3,NULL,NULL,9125737315713245976,Product Offering,NULL,9158904149313921235,NULL,NULL,798e5d14-7b3c-4178-81f3-60451f1bcbff,6610000002,VF Red - L Subscription,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
1000163955,9158904167513929378,2000163955,9158904172213930100,9158904170613932852,9158904170613932852,9132857804713527191,6#009B00$Active,9141504170013676277,Active,9145846203913115265,Consumer,2020-11-23 10:16:29,NULL,NULL,1,NULL,9158904166613929378,NULL,2020-11-23 10:16:36,No,9153817101813286625,SSP,9157882873313995000,App,0.00,0.00,10.00,10.00,0.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9125737315713245976,Product Offering,NULL,9158904169513929378,500000000003,NULL,5e3aa391-b629-4f45-8a04-d7d0f27a58c4,7610000000,VF Red - M,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
1000163951,9158904160913928040,2000163951,9158904163313928962,9158904171713930507,9158904171713930507,9132857804713527191,6#009B00$Active,9141504170013676277,Active,9145846203913115265,Consumer,2020-11-23 10:15:41,NULL,NULL,1,NULL,9158904161113928140,NULL,2020-11-23 10:15:51,No,9153817101813286625,SSP,9157882873313995000,App,0.00,0.00,10.00,10.00,0.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9125737315713245976,Product Offering,NULL,9158904162913928040,NULL,NULL,adff10b9-4359-461b-81aa-fb4056c58bde,7610000000,VF Red - M,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
1000164011,9158904931613977309,2000164012,9158904934713977499,9158904941913978167,9158904941913978167,9132857804713527191,6#009B00$Active,9141504170013676277,Active,9145846203913115265,Consumer,2020-11-23 12:25:19,NULL,NULL,1,NULL,9158904937613977309,NULL,2020-11-23 12:25:23,No,9153817101813286625,SSP,9157882873313995000,App,0.00,0.00,10.00,10.00,0.00,10.00,9158199561265939859,Mobile Postpaid Plan Template,7610000000,VF Red - M,1,9158199402565849119,Mobile Postpaid Plan,9125737315713245976,Product Offering,NULL,9158904933613977309,500000000001,NULL,e86c12e9-8848-4b72-8612-70283f01bb53,7610000000,VF Red - M,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
1000164021,9158905342113987127,2000164022,9158905368913987307,9158905367913988084,9158905367913988084,9132857804713527191,6#009B00$Active,NULL,NULL,9145846203913115265,Consumer,2020-11-23 13:35:25,NULL,NULL,NULL,NULL,9158905348113987127,NULL,2020-11-23 13:35:30,No,9153817101813286625,SSP,9157882873313995000,App,5.00,0.00,11.00,10.00,5.00,11.00,9157989469565553884,Mobile Prepaid Plan Template,6610000001,VF Red - S Subscription,2,NULL,NULL,9125737315713245976,Product Offering,NULL,9158905344113987127,NULL,NULL,223d6ebf-3cbf-4bea-9c6f-c80327c32b00,6610000001,VF Red - S Subscription,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
1000164026,9158905429013991702,2000164027,9158905429813991884,9158905432513992473,9158905432513992473,9132857804713527191,6#009B00$Active,NULL,NULL,9145846203913115265,Consumer,2020-11-23 13:47:53,NULL,NULL,NULL,NULL,9158905425113991702,NULL,2020-11-23 13:47:56,No,9153817101813286625,SSP,9157882873313995000,App,5.00,0.00,10.00,10.00,5.00,10.00,9157989469565553884,Mobile Prepaid Plan Template,6610000001,VF Red - S Subscription,2,NULL,NULL,9125737315713245976,Product Offering,NULL,9158905421113991702,NULL,NULL,32bb80fd-fed6-4aa6-9c91-fa06d5265013,6610000001,VF Red - S Subscription,NULL,NULL,NULL,NULL,2020-12-03 10:46:45,2020-12-03,2020-12-03-10-46-45
