event_discount_id,catalogue_change_id,discount_value,discount_desc,summation_attr_num_id,summation_attr_num_value,marginal_discount_boo,bonus_scheme_id,periodic_only_boo,revenue_code_id,assessment_aggregation_level_id,assessment_aggregation_level_value,discounting_aggregation_level_id,discounting_aggregation_level_value,assessment_event_type_id,discounting_event_type_id,assessment_filter_id,discounting_filter_id,pro_rating_boo,discount_period,discount_period_units_id,discount_period_units_value,parametric_boo,aggregation_unit_value,aggregation_rate_multiplier,aggregation_rate_units,synchronise_boo,rating_carry_over_boo,max_carry_over_num,discount_type_id,discount_type_value,priority_num,filter_set_id,filter_set_value,disc_act_thold_set_id,rating_assessment_criteria_id,rating_assessment_criteria_value,include_post_term_boo,rating_accumulate_boo,disc_distribution_boo,amount_per_unit_boo,discount_summation_attr_num_id,discount_summation_attr_num_value,discount_sum_multiplier,discount_sum_value,period_maximum_mny,reset_counter_boo,store_qualifying_usage_boo,apply_until_expired_boo,allocate_full_periods_boo,allocation_period,allocation_period_units_id,allocation_period_units_value,perm_override_enable_rule_id,perm_override_enable_rule_value,temp_override_enable_rule_id,temp_override_enable_rule_value,keep_periods,initial_bonus_award,initial_bonus_reason_id,initial_counter_usage,period_priority_strategy_id,period_priority_strategy_value,cost_per_1000_units_mny,lc_profile_id,shared_discount_boo,merge_buckets_boo,dynamic_discount_boo,otc_id,dynamic_allocation_rule_id,dynamic_allocation_rule_value,max_num_buckets,allied_discounts_group_id,charge_cash_bundles_boo,net_charge_boo,no_further_discounts_boo,no_further_assessment_boo,discount_pct_granularity,additional_validity_mode,additional_priority_num,ocs_insession_action_type,negotiable_discount_boo,min_discount_pct,max_discount_pct,min_discount_mny,max_discount_mny,shrd_lookup_threshold_value,threshold_assesment_criteria_id,threshold_assesment_criteria_value,disc_status_action_set_id,rounding_unit_size,discount_rounding_type,extraction_timestamp,date,history_date
67,6,Get 50% Off First Monthly Subscription_M,50% Off for 1M,0,Event cost.,F,NULL,F,300000005,8,Subscription.,8,Subscription.,-999947,-999947,197,197,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
71,6,Get Monthly Subscription FREE for 3-mont,100% Off for 3M,0,Event cost.,F,NULL,F,300000003,8,Subscription.,8,Subscription.,-999947,-999947,209,209,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
74,6,Promo 10% Off Monthly Subscription For 3,10% Off for 3M,0,Event cost.,F,NULL,F,300000022,8,Subscription.,8,Subscription.,-999947,-999947,218,218,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
82,6,Get 20% Off Monthly Subscription For 3-m,20% Off for 3M,0,Event cost.,F,NULL,F,300000006,8,Subscription.,8,Subscription.,-999947,-999947,242,242,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
89,6,Promo 20% Off Monthly Subscription For 3,20% Off for 3M,0,Event cost.,F,NULL,F,300000021,8,Subscription.,8,Subscription.,-999947,-999947,263,263,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
91,6,Get OR10 Off Monthly Subscription_Mobile,10 OMR Off for 1M,0,Event cost.,F,NULL,F,300000025,8,Subscription.,8,Subscription.,-999947,-999947,269,269,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
65,6,Monthly Subscription FREE for 2 Months_M,100% Off on 2M,0,Event cost.,F,NULL,F,300000017,8,Subscription.,8,Subscription.,-999947,-999947,191,191,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
66,6,Get 10% Off Monthly Subscription For 3-m,10% Off for 3M,0,Event cost.,F,NULL,F,300000007,8,Subscription.,8,Subscription.,-999947,-999947,194,194,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
75,6,Promo OR2 Off Monthly Subscription For 3,2 OMR Off for 3M,0,Event cost.,F,NULL,F,300000028,8,Subscription.,8,Subscription.,-999947,-999947,221,221,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
78,6,Get OR2 Off Monthly Subscription For 6-m,2 OMR Off for 6M,0,Event cost.,F,NULL,F,300000014,8,Subscription.,8,Subscription.,-999947,-999947,230,230,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
80,6,Monthly Subscription FREE for 3-months_M,100% Off for 3M,0,Event cost.,F,NULL,F,300000018,8,Subscription.,8,Subscription.,-999947,-999947,236,236,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
85,6,Promo OR2 Off Monthly Subscription For 6,2 OMR Off for 6M,0,Event cost.,F,NULL,F,300000029,8,Subscription.,8,Subscription.,-999947,-999947,251,251,T,1,M,Months.,F,NULL,NULL,NULL,T,NULL,NULL,3,Post-itemization.,1,3,Product only.,NULL,NULL,NULL,NULL,NULL,T,F,NULL,NULL,NULL,NULL,NULL,NULL,T,F,F,NULL,NULL,NULL,0,None,0,None,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-30 19:03:55,2020-11-30,2020-11-30-19-03-55
