group_value,group_id,created_by_value,created_when,email,modified_by_value,modified_when,extraction_timestamp,date,history_date
Customers,3060923132013761416,NULL,NULL,NULL,sysadm,2017-05-27 05:56:36,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Operations Rep,3060923132013761418,NULL,NULL,NULL,sysadm,2017-05-27 05:56:26,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Calculable attribute index configuration administrator,8012550816013963237,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Class based optimization configuration administrator,8012550816013963248,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Wf Admin,8081546515013868805,NULL,NULL,NULL,sysadm,2017-05-27 05:58:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Wf Users,8081546515013868806,NULL,NULL,NULL,sysadm,2017-05-27 05:58:27,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Manual Task User,9123861064813905704,Administrator,2010-03-18 12:23:43,NULL,Administrator,2010-03-18 16:50:41,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Search profile Object Types configuration,9129539934813068759,NULL,NULL,NULL,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Local Searchers,9130469184013589977,sysadm,2011-11-20 08:36:18,NULL,ED User,2011-11-20 08:36:18,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
SCM Administrators,9130789250013893088,sysadm,2011-12-27 10:30:57,NULL,sysadm,2014-01-10 13:37:01,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sales Support Operators,9132128810113867218,NULL,NULL,NULL,sysadm,2017-05-27 06:05:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
WFM Assignment Tool user,9132934422213157223,Administrator,2012-08-31 16:15:39,NULL,Administrator,2012-08-31 16:15:39,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Sales Managers,9134397110013204695,Power_User02,2013-02-16 17:22:03,NULL,Power_User02,2013-05-25 12:40:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Proposal Security Matrix,9136557870213920328,sysadm,2013-10-25 01:19:26,NULL,sysadm,2013-10-25 01:22:19,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Revenue Split,9136624673413964902,sysadm,2013-11-01 19:09:57,NULL,sysadm,2013-11-12 16:30:41,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Competitors,9136709649813997163,sysadm,2013-11-11 15:11:04,NULL,sysadm,2013-11-12 16:25:53,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
 View BCA (OOB),9136728066813008811,sysadm,2013-11-13 19:41:54,NULL,sysadm,2013-11-23 00:30:40,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Update Business Customer Account(OOB Unused),9136728694813008904,sysadm,2013-11-13 19:42:28,NULL,sysadm,2019-05-16 10:39:46,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Update RCA (OOB),9136728694813008908,sysadm,2013-11-13 19:43:38,NULL,sysadm,2013-11-13 19:43:38,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Operate Children,9137045720013233220,sysadm,2013-12-20 12:38:07,NULL,sysadm,2013-12-20 16:06:18,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Partner Management Roles,9138014270313675455,NULL,NULL,NULL,sysadm,2017-05-27 06:02:45,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Distributor Administrator,9138014270313675498,sysadm,2014-04-11 16:23:57,NULL,egpo0414,2014-06-19 11:57:21,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
PLM Developers,9142809182013589046,sysadm,2015-10-18 13:58:56,NULL,Administrator,2015-12-24 18:32:15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Delete Proposal,9143318374813766809,sysadm,2015-12-16 15:01:01,NULL,sysadm,2015-12-16 20:22:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Rating Catalog Synchronizers,9145841713413444783,sysadm,2015-10-18 13:59:49,NULL,Administrator,2015-12-24 18:33:00,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Warehouse: Customer Location,9146582463313593579,sysadm,2017-02-17 07:39:01,NULL,sysadm,2017-02-17 07:39:01,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CSD Provisioning,9147377015513858137,sysadm,2017-03-30 06:22:58,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Customer Service C,9147377015513858152,sysadm,2017-03-30 06:23:42,NULL,sysadm,2017-11-11 02:24:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
CSR Assistant Manager,9147377015513858155,sysadm,2017-03-30 06:23:54,NULL,sysadm,2017-11-11 02:25:22,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Finance Accounting Analyst,9147377015513858170,sysadm,2017-03-30 06:24:36,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
OM Supervisor,9147377015513858179,sysadm,2017-03-30 06:29:22,NULL,sysadm,2017-10-12 04:03:20,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
Read Only Access,9147377015513858198,sysadm,2017-03-30 06:30:10,NULL,sysadm,2017-11-09 03:05:16,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
