status_id,status_value,attr_type_def_id
2091653151013994670,Active,2091653151013994669
2091653151013994671,Defunct,2091653151013994669
2091653151013994672,Active Pending,2091653151013994669
2091653151013994674,Suspended/Customer request,2091653151013994669
2091653151013994675,Suspended/Credit Problems,2091653151013994669
2091653151013994676,Suspended/Billing Problems,2091653151013994669
4083169175013834987,Cancelled,2091653151013994669
4120239932013746885,Inactive,2091653151013994669
2091653151013994670,Active,2091653151013994669
2091653151013994671,Defunct,2091653151013994669
2091653151013994672,Active Pending,2091653151013994669
2091653151013994674,Suspended/Customer request,2091653151013994669
2091653151013994675,Suspended/Credit Problems,2091653151013994669
2091653151013994676,Suspended/Billing Problems,2091653151013994669
4083169175013834987,Cancelled,2091653151013994669
4120239932013746885,Inactive,2091653151013994669
2091653151013994670,Active,2091653151013994669
2091653151013994671,Defunct,2091653151013994669
2091653151013994672,Active Pending,2091653151013994669
2091653151013994674,Suspended/Customer request,2091653151013994669
2091653151013994675,Suspended/Credit Problems,2091653151013994669
2091653151013994676,Suspended/Billing Problems,2091653151013994669
4083169175013834987,Cancelled,2091653151013994669
4120239932013746885,Inactive,2091653151013994669
2091653151013994670,Active,2091653151013994669
2091653151013994671,Defunct,2091653151013994669
2091653151013994672,Active Pending,2091653151013994669
2091653151013994674,Suspended/Customer request,2091653151013994669
2091653151013994675,Suspended/Credit Problems,2091653151013994669
2091653151013994676,Suspended/Billing Problems,2091653151013994669
4083169175013834987,Cancelled,2091653151013994669
4120239932013746885,Inactive,2091653151013994669
2091653151013994670,Active,2091653151013994669
2091653151013994671,Defunct,2091653151013994669
2091653151013994672,Active Pending,2091653151013994669
2091653151013994674,Suspended/Customer request,2091653151013994669
2091653151013994675,Suspended/Credit Problems,2091653151013994669
2091653151013994676,Suspended/Billing Problems,2091653151013994669
4083169175013834987,Cancelled,2091653151013994669
4120239932013746885,Inactive,2091653151013994669
2091653151013994670,Active,2091653151013994669
2091653151013994671,Defunct,2091653151013994669
2091653151013994672,Active Pending,2091653151013994669
2091653151013994674,Suspended/Customer request,2091653151013994669
