esim_logical_status_id,esim_logical_status_value,attr_type_def_id
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
9156190571213780563,Available,9156190570213780563
9156190574213780563,Reserved,9156190570213780563
9156190575213780563,Assigned,9156190570213780563
