revenue_feed_id,attribute_number,attribute_value,action_type,null_group_value,default_value,attribute_number_for_transform,extraction_timestamp,date,history_date
-4,9,Charge Cost,2,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-6,1,Revenue Code,1,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-6,2,Source Class Id,1,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-6,3,Currency Code,1,NULL,NULL,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-6,4,Invoicing Company Id,1,NULL,NULL,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,4,Charge Cost,2,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,Source Class Id,1,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,Customer Segment,1,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,4,Revenue Code Name,1,NULL,NULL,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,5,Customer Channel,1,NULL,NULL,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,6,Product Sequence,1,NULL,NULL,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,7,Product ID,1,NULL,NULL,6,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,8,Service Category,1,NULL,NULL,7,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,9,Bill Cycle Date,1,NULL,NULL,8,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,10,Tariff ID,1,NULL,NULL,9,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,11,TESZOR Codes,1,NULL,NULL,10,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,12,VAT Tax Rate,1,NULL,NULL,11,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,13,VAT Flat Tax Rate,1,NULL,NULL,12,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,14,Charge Source Class Id,1,NULL,NULL,13,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,15,Discount Owning ProdSeq/ Dispute charge,1,NULL,NULL,14,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,2,Source Class Id,1,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,4,Revenue Code Id,1,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,5,Customer Type,1,NULL,NULL,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,6,Invoice Number,1,NULL,NULL,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,7,Adjustment Reason,1,NULL,NULL,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,1,Cost,2,NULL,0,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-6,5,Revenue Money,2,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,1,Source Class ID,1,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,2,Source Class Id,1,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,3,Charge Start Date(Product),1,NULL,NULL,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,4,Charge End Date(Product),1,NULL,NULL,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,Product ID/OTC ID,1,NULL,NULL,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,Tariff ID,1,NULL,NULL,6,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,ChargeType/EventDiscount/TaxType/OTCType,1,NULL,NULL,7,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,8,Charge Sub-Type,1,NULL,NULL,8,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,10,UsTax authority,1,NULL,NULL,9,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,11,RevCodeId,1,NULL,NULL,10,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,ProductSeq,1,NULL,NULL,11,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,13,OTC Seq,1,NULL,NULL,12,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,1,revenue_code_id,1,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,2,Source Class Id,1,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,Cost,2,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,1,revenue_code_id,1,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,2,Source Class Id,1,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,3,tax_code_id,1,NULL,NULL,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,4,revenue_mny,2,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,5,transaction_count,2,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,3,revenue_mny,2,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,4,transaction_count,2,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,5,internal_cost_mny,2,NULL,NULL,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,6,external_cost_mny,2,NULL,NULL,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,7,competitor_cost_mny,2,NULL,NULL,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,2,Source Class ID,1,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10002,3,Charge Name,1,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,1,Source Class ID,1,NULL,NULL,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,2,Source Class Id,1,NULL,NULL,2,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,3,Event Source,1,NULL,NULL,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
10001,1,Cost,2,NULL,0,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
