revenue_feed_id,attribute_number,source_class_id,source_id,exclude_from_feed_boo,revenue_feed_src_attr_id,extraction_timestamp,date,history_date
-5,1,13,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,1,14,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,2,13,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,2,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-5,4,1,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,2,10,NULL,F,455,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,2,27,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,3,27,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,6,NULL,F,64,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,15,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,26,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,5,27,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,10,NULL,F,72,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,6,11,NULL,F,72,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,7,NULL,F,46,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,9,NULL,F,46,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,11,NULL,F,46,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,15,NULL,F,84,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,7,27,NULL,F,108,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,7,NULL,F,55,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-4,12,27,NULL,F,292,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,1,27,NULL,F,5,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-3,3,34,NULL,F,337,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,2,26,NULL,F,95,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,2,28,NULL,F,324,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,4,1,NULL,F,4,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,5,5,NULL,F,260,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,5,12,NULL,F,260,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
-1,6,12,NULL,F,261,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,6,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,15,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,26,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,1,34,NULL,F,3,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,3,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,2,8,NULL,F,1,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,15,NULL,F,459,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
1,3,34,NULL,F,459,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
