account_num,customer_ref,account_payment_seq,payment_channel_id,csr_id,vodafone_store_code,payment_confirmation_date,payment_extract_date,payment_transaction_id,csr_name,payment_file_name,file_batch_id,so_number,upfront_payment_part_id,invoice_number,payment_source,sales_order,extraction_timestamp,date,history_date
2000163929,1000163929,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904069513909825,9158904099013910161,NULL,Point of Sale	,9158904069513909825,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000163953,1000163953,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904165413929066,9158904178813931016,NULL,Point of Sale	,9158904165413929066,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000163998,1000163998,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904288513953731,9158904285213954055,NULL,Point of Sale	,9158904288513953731,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164011,1000164010,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904770413972303,9158904780213974005,NULL,Point of Sale	,9158904770413972303,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164018,1000164018,3,Call Center Desktop,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Call Center Desktop,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164152,1000164171,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159025823213412761,9159025821313412875,NULL,Point of Sale	,9159025823213412761,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164154,1000164174,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159025917313416303,9159025921613416552,NULL,Point of Sale	,9159025917313416303,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164170,1000164177,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9159026240813422941,9159026266213423525,NULL,Point of Sale	,9159026240813422941,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000164171,1000164178,4,Recurring Payment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Recurring Payment,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000163952,1000163952,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904161213928656,9158904166013929793,NULL,Point of Sale	,9158904161213928656,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000163955,1000163955,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904166613929378,9158904173713931628,NULL,Point of Sale	,9158904166613929378,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
2000163956,1000163956,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9158904171313934076,9158904182113935444,NULL,Point of Sale	,9158904171313934076,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
