customer_ref,account_num,adjustment_id,adjustment_seq,adjustment_dat,adjustment_type_id,adjustment_type_value,adjustment_txt,adjustment_net_mny,created_dtm,dispute_seq,adjustment_status_id,adjustment_status_value,budget_centre_seq,bill_seq,cps_id,cps_name,geneva_user_ora,approved_dtm,outcome_desc,receivable_class_id,receivable_class_name,adjustment_debt_mny,adjustment_tax_mny,linked_writeoff_payment_seq,billtimecharge_created_adj_boo,bill_dtm,actual_bill_dtm,bill_version,extraction_timestamp,date,history_date
1000163930,2000163929,NULL,4,2020-11-23 00:00:00,10002,NULL,testik,20000,2020-11-23 10:36:24,NULL,3,Approved.,NULL,NULL,10003,Oman,ECAUSER,2020-11-23 10:36:26,Automatically approved,10001,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163952,2000163951,NULL,1,2020-11-24 00:00:00,10001,NULL,Automatically approved,250,2020-11-24 14:06:04,1,3,Approved.,NULL,1,NULL,NULL,ECAUSER,2020-11-24 14:06:24,Automatically approved,10001,Default,-250,0,NULL,NULL,2020-12-01 00:00:00,2020-12-01 14:08:36,1,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163953,2000163952,NULL,3,2020-11-23 00:00:00,10001,NULL,Automatically approved,50,2020-11-23 11:16:02,2,3,Approved.,NULL,1,NULL,NULL,ECAUSER,2020-11-23 11:16:38,Automatically approved,10001,Default,-50,0,NULL,NULL,2020-12-01 00:00:00,2020-12-01 12:22:23,1,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163953,2000163952,NULL,6,2020-11-23 00:00:00,10001,NULL,Automatically approved,300,2020-11-23 11:19:13,3,3,Approved.,NULL,1,NULL,NULL,ECAUSER,2020-11-23 11:19:41,Automatically approved,10001,Default,-300,0,NULL,NULL,2020-12-01 00:00:00,2020-12-01 12:22:23,1,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163953,2000163952,NULL,8,2020-11-23 00:00:00,10001,NULL,Automatically approved,150,2020-11-23 11:22:23,5,3,Approved.,NULL,1,NULL,NULL,ECAUSER,2020-11-23 11:23:16,Automatically approved,10001,Default,-150,0,NULL,NULL,2020-12-01 00:00:00,2020-12-01 12:22:23,1,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163953,2000163952,NULL,16,2020-12-10 00:00:00,10001,NULL,ауцауц,100000,2020-12-02 11:26:00,13,3,Approved.,NULL,NULL,NULL,NULL,ECAUSER,2020-11-24 12:07:31,цуа,10001,Default,100000,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163957,2000163956,NULL,2,2020-12-04 00:00:00,10001,NULL,Automatically approved,100000,2020-12-04 15:05:00,10,3,Approved.,NULL,NULL,NULL,NULL,ECAUSER,2020-11-24 15:06:40,Automatically approved,10001,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164259,2000164258,NULL,8,2020-11-13 00:00:00,10002,NULL,123,20000,2020-11-13 14:23:24,NULL,1,Pending approval.,NULL,NULL,10003,Oman,ECAUSER,NULL,NULL,10001,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164442,2000164285,NULL,3,2020-11-09 00:00:00,10002,NULL,3,30000,2020-11-09 16:56:26,NULL,3,Approved.,NULL,NULL,10003,Oman,ECAUSER,2020-11-09 16:56:37,sdf,10001,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164715,2000164388,NULL,3,2020-11-11 00:00:00,10001,NULL,ok,50,2020-11-11 18:36:24,6,3,Approved.,NULL,1,NULL,NULL,ECAUSER,2020-11-11 18:37:36,s,10001,Default,-50,0,NULL,NULL,2020-12-01 00:00:00,2020-12-01 13:31:04,1,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164933,2000164625,NULL,3,2020-11-17 00:00:00,10002,NULL,ok,50000,2020-11-17 00:24:57,NULL,1,Pending approval.,NULL,NULL,10003,Oman,ECAUSER,NULL,NULL,10001,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
