customer_ref,account_num,bill_seq,bill_dtm,account_payment_seq,amount_mny,notes_txt,receivable_class_id,invoice_num_id,invoice_net_mny,invoice_tax_mny,payments_mny,payment_due_dat,extraction_timestamp,date,history_date
1000163950,2000163950,1,2020-12-01 00:00:00,2,67858,NULL,10001,VFO0000010,67858,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163952,2000163952,1,2020-12-01 00:00:00,2,116636,NULL,10001,VFO0000006,216636,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164004,2000164004,1,2020-12-01 00:00:00,3,100000,NULL,10001,VFO0000003,126666,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163951,2000163951,1,2020-12-01 00:00:00,1,100000,Auto allocate to bill #1,10001,VFO0000015,127466,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163952,2000163952,1,2020-12-01 00:00:00,1,100000,Auto allocate to bill #1,10001,VFO0000006,216636,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163956,2000163956,1,2020-12-01 00:00:00,2,127716,NULL,10001,VFO0000016,227716,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164000,2000164000,1,2020-12-01 00:00:00,3,100000,NULL,10001,VFO0000001,126666,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164013,2000164015,1,2020-12-01 00:00:00,2,26666,NULL,10001,VFO0000012,126666,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164018,2000164018,1,2020-12-01 00:00:00,2,26666,NULL,10001,VFO0000013,126666,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164128,2000164128,1,2021-01-01 00:00:00,3,100000,Auto allocate to bill #1,10001,VFO0000021,367740,0,200000,2021-01-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164004,2000164004,1,2020-12-01 00:00:00,2,26666,NULL,10001,VFO0000003,126666,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164010,2000164011,1,2020-12-01 00:00:00,2,26966,NULL,10001,VFO0000005,126966,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164011,2000164012,1,2020-12-01 00:00:00,2,26666,NULL,10001,VFO0000007,126666,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,2000164171,1,2020-12-08 00:00:00,1,100000,Auto allocate to bill #1,10001,VFO0000032,400000,0,100000,2021-01-07 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,2000164171,1,2020-12-08 00:00:00,2,100000,Auto allocate to bill #1,10001,VFO0000032,400000,0,100000,2021-01-07 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163951,2000163951,1,2020-12-01 00:00:00,2,27466,NULL,10001,VFO0000015,127466,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164011,2000164012,1,2020-12-01 00:00:00,3,100000,NULL,10001,VFO0000007,126666,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164129,2000164129,1,2021-01-01 00:00:00,2,6692,Auto allocate to bill #1,-1,VFO0000025,298870,0,100000,2021-01-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164129,2000164129,1,2021-01-01 00:00:00,2,193308,Auto allocate to bill #1,10001,VFO0000025,298870,0,100000,2021-01-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164171,2000164152,1,2021-01-01 00:00:00,3,100000,Auto allocate to bill #1,10001,VFO0000030,361290,0,200000,2021-01-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163950,2000163950,2,2021-01-01 00:00:00,2,46000,NULL,10001,VFO0000011,146000,0,0,2021-01-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164000,2000164000,1,2020-12-01 00:00:00,2,26666,NULL,10001,VFO0000001,126666,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164010,2000164011,1,2020-12-01 00:00:00,3,100000,NULL,10001,VFO0000005,126966,0,100000,2020-12-31 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,2000164171,1,2020-12-08 00:00:00,4,200000,Auto allocate to bill #1,10001,VFO0000032,400000,0,100000,2021-01-07 00:00:00,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
