customer_ref,account_num,domain_id,bill_seq,bill_version,customer_category_id,customer_category_value,revenue_start_dat,revenue_end_dat,revenue_feed_id,revenue_charge_type_id,revenue_charge_type_value,bill_revenue_feed_seq,invoiced_charge_boo,created_dtm,bill_dtm,actual_bill_dtm,tax_inclusive_charge_mny,re_calculated_charge_mny,re_engineered_chrg_grp_seq,revenue_code_id,revenue_code_value,source_class_id,source_class_value,invoice_number_id,adjustment_reason,cost,transaction_count,internal_cost_mny,external_cost_mny,competitor_cost_mny,extraction_timestamp,date,history_date
1000163951,2000163950,842916269,1,1,9145846203913115265,Consumer,2020-11-23 00:00:00,2020-11-30 00:00:00,-1,1,Normal charge,1,T,2020-12-01 13:08:06,2020-12-01 00:00:00,2020-12-01 13:08:06,NULL,NULL,NULL,100000001,100000001,10001,NULL,NULL,NULL,NULL,26666,1,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163951,2000163950,842916269,1,1,9145846203913115265,Consumer,2020-11-23 00:00:00,2020-11-23 00:00:00,10001,1,Normal charge,1,T,2020-12-01 13:08:06,2020-12-01 00:00:00,2020-12-01 13:08:06,NULL,NULL,NULL,500000002,500000002,2,Standalone Adjustment,NULL,уцкцук,-10000,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163951,2000163950,842916269,1,1,9145846203913115265,Consumer,2020-12-01 00:00:00,2020-12-31 00:00:00,10001,1,Normal charge,8,T,2020-12-01 13:08:06,2020-12-01 00:00:00,2020-12-01 13:08:06,NULL,NULL,NULL,100000037,100000037,6,Product Charge (Before Savings),NULL,NULL,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163951,2000163950,842916269,1,1,9145846203913115265,Consumer,2020-11-23 00:00:00,2020-11-30 00:00:00,10002,1,Normal charge,4,T,2020-12-01 13:08:06,2020-12-01 00:00:00,2020-12-01 13:08:06,NULL,NULL,NULL,NULL,NULL,6,Product Charge (Before Savings),NULL,NULL,26666,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163951,2000163950,842916269,1,1,9145846203913115265,Consumer,2020-12-01 00:00:00,2020-12-01 00:00:00,10002,1,Normal charge,5,T,2020-12-01 13:08:06,2020-12-01 00:00:00,2020-12-01 13:08:06,NULL,NULL,NULL,NULL,NULL,26,VAT Tax,NULL,NULL,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163951,2000163950,842916269,1,1,9145846203913115265,Consumer,2020-12-01 00:00:00,2020-12-31 00:00:00,10002,1,Normal charge,6,T,2020-12-01 13:08:06,2020-12-01 00:00:00,2020-12-01 13:08:06,NULL,NULL,NULL,NULL,NULL,15,Post-Itemization Discount,NULL,NULL,-35475,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163951,2000163950,842916269,1,1,9145846203913115265,Consumer,2020-12-01 00:00:00,2020-12-31 00:00:00,10002,1,Normal charge,7,T,2020-12-01 13:08:06,2020-12-01 00:00:00,2020-12-01 13:08:06,NULL,NULL,NULL,NULL,NULL,6,Product Charge (Before Savings),NULL,NULL,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163951,2000163950,842916269,2,1,9145846203913115265,Consumer,2020-11-01 00:00:00,2020-11-30 00:00:00,10002,1,Normal charge,1,T,2021-01-01 13:12:38,2021-01-01 00:00:00,2021-01-01 13:12:38,NULL,NULL,NULL,NULL,NULL,12,Event (Before Discounts),NULL,NULL,34000,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163952,2000163951,76063392,1,1,9145846203913115265,Consumer,2020-11-23 00:00:00,2020-11-23 00:00:00,-1,1,Normal charge,5,T,2020-12-01 14:08:36,2020-12-01 00:00:00,2020-12-01 14:08:36,NULL,NULL,NULL,400000003,400000003,10001,NULL,NULL,NULL,NULL,70,1,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163952,2000163951,76063392,1,1,9145846203913115265,Consumer,2020-11-23 00:00:00,2020-11-23 00:00:00,-1,1,Normal charge,7,T,2020-12-01 14:08:36,2020-12-01 00:00:00,2020-12-01 14:08:36,NULL,NULL,NULL,400000005,400000005,10001,NULL,NULL,NULL,NULL,150,1,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163952,2000163951,76063392,1,1,9145846203913115265,Consumer,2020-11-01 00:00:00,2020-11-30 00:00:00,10001,1,Normal charge,4,T,2020-12-01 14:08:36,2020-12-01 00:00:00,2020-12-01 14:08:36,NULL,NULL,NULL,400000004,400000004,12,Event (Before Discounts),NULL,NULL,50,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163952,2000163951,76063392,1,1,9145846203913115265,Consumer,2020-11-23 00:00:00,2020-11-23 00:00:00,10001,1,Normal charge,9,T,2020-12-01 14:08:36,2020-12-01 00:00:00,2020-12-01 14:08:36,NULL,NULL,NULL,400000008,400000008,5,Event Dispute Adjustment,NULL,Automatically approved,-250,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163952,2000163951,76063392,1,1,9145846203913115265,Consumer,2020-12-01 00:00:00,2020-12-01 00:00:00,10001,1,Normal charge,12,T,2020-12-01 14:08:36,2020-12-01 00:00:00,2020-12-01 14:08:36,NULL,NULL,NULL,700000001,700000001,26,VAT Tax,NULL,NULL,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163952,2000163951,76063392,1,1,9145846203913115265,Consumer,2020-11-01 00:00:00,2020-11-30 00:00:00,10002,1,Normal charge,3,T,2020-12-01 14:08:36,2020-12-01 00:00:00,2020-12-01 14:08:36,NULL,NULL,NULL,NULL,NULL,12,Event (Before Discounts),NULL,NULL,150,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
