customer_ref,account_num,subs_id,charge_seq,charge_number,bill_seq,bill_dtm,actual_bill_dtm,bill_version,domain_id,bpi_id,productoffering_id,productoffering_name,tariff_plan_id,tariff_plan_name,customer_category_id,customer_category_value,product_id,charge_start_dat,charge_end_dat,charge_cost_mny,charge_type_id,charge_type_value,charge_sub_type_id,charge_sub_type_value,tariff_id,revenue_code_id,revenue_code_value,cps_id,cps_name,taxcode_id,taxcode_value,percentage_pct,product_quantity,product_age,bpc_status_id,bpc_status_value,created_dtm,anchor_dat,tariff_version,receivable_class_id,receivable_class_name,in_advance_boo,budget_centre_seq,package_seq,package_id,product_package_instance,parent_product_seq,additions_quantity,terminations_quantity,package_basic_tariff_id,package_basic_cost_mny,package_disc_rev_code_id,pre_override_cost_mny,override_rev_code_id,early_term_mult_cost_mny,early_term_mult_rev_code_id,contract_ref,contract_term,contract_term_units,product_attr_1,product_attr_2,product_attr_3,product_attr_4,product_attr_5,product_attr_6,override_number,override_mod_type_id,override_mod_type_value,age_dependent_price_id,adp_from_number,adp_to_number,adp_period_units,pre_adp_cost_mny,adp_recur_disc_rev_code_id,full_period_cost_mny,charge_start_dtm,charge_end_dtm,activation_rule,suspension_rule,reactivation_rule,termination_rule,rev_recognition_class_id,charge_source,contract_start_dat,contract_type_id,tax_rate_pct,tax_rate_mny,tax_rate_currency_code,cog_member_qty,accumulated_points,redeemed_points,pre_loyalty_cost_mny,price_attr_1,price_attr_2,price_attr_3,price_attr_4,price_attr_5,price_attr_6,split_charge_amount_mny,pre_split_full_period_cost_mny,split_charge_source,actual_charge_start_dat,actual_charge_end_dat,extraction_timestamp,date,history_date
1000163953,2000163952,NULL,1,1,1,2020-12-01 00:00:00,2020-12-01 12:22:23,1,364533619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2020-11-23 00:00:00,2020-11-30 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,0,1,Active.,2020-12-01 12:22:23,2021-01-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164015,2000164015,NULL,1,1,1,2020-12-01 00:00:00,2020-12-01 13:14:56,1,618050621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2020-11-23 00:00:00,2020-11-30 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,0,1,Active.,2020-12-01 13:14:56,2021-01-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164018,2000164018,NULL,2,1,2,2020-12-06 00:00:00,2020-12-06 17:08:17,1,840884227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2020-12-01 00:00:00,2020-12-04 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,0,2,Implied active.,2020-12-06 17:08:17,2021-01-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164093,2000164108,NULL,1,1,1,2020-12-01 00:00:00,2020-12-01 22:21:13,1,111820209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2020-11-04 00:00:00,2020-11-30 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,0,1,Active.,2020-12-01 22:21:13,2021-01-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164922,2000164603,NULL,1,1,1,2020-12-01 00:00:00,2020-12-01 21:25:40,1,620324285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2020-11-11 00:00:00,2020-11-30 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,0,1,Active.,2020-12-01 21:25:40,2021-01-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000164925,2000164606,NULL,1,1,1,2020-12-01 00:00:00,2020-12-01 21:26:13,1,289708222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2020-11-11 00:00:00,2020-11-30 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,0,1,Active.,2020-12-01 21:26:13,2021-01-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000163951,2000163950,NULL,2,1,2,2021-01-01 00:00:00,2021-01-01 13:12:38,1,842916269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2021-01-01 00:00:00,2021-01-31 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,1,1,Active.,2021-01-01 13:12:38,2021-02-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163957,2000163956,NULL,1,1,1,2020-12-01 00:00:00,2020-12-01 14:14:55,1,853647607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2020-11-23 00:00:00,2020-11-30 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,0,1,Active.,2020-12-01 14:14:55,2021-01-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164004,2000164004,NULL,2,1,2,2021-01-01 00:00:00,2021-01-01 11:31:18,1,871324315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2021-01-01 00:00:00,2021-01-31 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,1,1,Active.,2021-01-01 11:31:18,2021-02-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164091,2000164106,NULL,1,1,1,2020-12-01 00:00:00,2020-12-01 22:20:25,1,887904974,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,2020-11-04 00:00:00,2020-11-30 00:00:00,0,2,Periodic.,201,Standard recurring.,78,100000037,100000037,10003,Oman,10001,NULL,10000,1,0,1,Active.,2020-12-01 22:20:25,2021-01-01 00:00:00,1,10001,Default,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
