customer_ref,account_num,bill_seq,bill_dtm,bill_type_id,bill_type_value,balance_fwd_mny,invoice_net_mny,invoice_tax_mny,payments_mny,failed_payments_mny,adjustments_mny,refunds_mny,balance_out_mny,ebd_email_status,points_fwd,points_earned,points_adjusted,points_redeemed,points_out,trans_billed_to_dtm,event_billed_to_dtm,tax_point_dat,outstanding_debt_mny,chase_debt_mny,current_dispute_mny,modification_days,credit_adj_billed_to_dtm,debit_adj_billed_to_dtm,loyalty_trans_billed_to_dtm,event_seq,info_invoice_mny,info_currency_code_id,info_currency_value,statement_boo,bill_settled_boo,event_archive_status_id,event_archive_status_value,invoice_num,actual_bill_dtm,start_of_bill_dtm,bill_version,bill_status_id,bill_status_value,cancellation_request_dat,cancellation_dtm,replaces_invoice_num,billed_with_bill_seq,cancelled_reason_txt,archive_dat,invoice_num_status_id,invoice_num_status_value,invoice_register_id,charge_seq,debt_start_dat,payment_due_dat,bill_handling_code_id,bill_handling_code_value,ocr_num,bill_settled_dtm,event_masked_boo,bill_label,event_del_no_archive_boo,min_billed_event_dtm,max_billed_event_dtm,min_rerated_event_dtm,max_rerated_event_dtm,discounted_rerating_boo,domain_id,ust_currency_code,collection_notify_boo,adfg_processed_dtm,billing_offer_id,otc_mny,otc_billed_to_dtm,override_bill_dtm,late_fee_mny,deferred_charges_tot,overwritten_def_charge_tot,settleup_charges_tot,oefr_created_boo,pa_dp_invoice_bill_mny,pa_fed_invoice_due_mny,pa_fed_invoice_bill_mny,pa_payment_mny,points_expired,fde_extract_id,ust_linesandlocs_detail_level,ust_linesandlocs_billed_to_dat,ust_maxtax_transaction_status,extraction_timestamp,date,history_date
1000163952,2000163951,3,2021-02-01 00:00:00,1,Periodic,102100,102650,0,0,0,0,0,204750,NULL,0,0,0,0,0,2021-02-01 00:00:00,2021-02-01 00:00:00,2021-02-01 00:00:00,102650,NULL,0,0,2021-02-01 18:40:46,2021-02-01 18:40:46,2021-02-01 18:40:46,3,102650,OMR,NULL,T,F,NULL,NULL,VFO0000018,2021-02-01 18:40:46,2021-01-01 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-05-02 00:00:00,2,Invoice number allocated.,10001,3.0,2021-02-01 00:00:00,2021-03-03 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,2021-01-10 16:46:44,2021-01-11 23:53:44,NULL,NULL,F,76063392,NULL,F,NULL,NULL,0,2021-02-01 18:40:46,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163957,2000163956,1,2020-12-01 00:00:00,1,Periodic,0,227716,0,100000,0,0,0,127716,NULL,0,0,0,0,0,2020-12-01 00:00:00,2020-12-01 00:00:00,2020-12-01 00:00:00,227716,NULL,0,0,2020-12-01 14:14:55,2020-12-01 14:14:55,2020-12-01 14:14:55,1,227716,OMR,NULL,T,F,NULL,NULL,VFO0000016,2020-12-01 14:14:55,2020-11-23 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-03-01 00:00:00,2,Invoice number allocated.,10001,1.0,2020-12-01 00:00:00,2020-12-31 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,2020-11-23 15:58:44,2020-11-23 22:55:44,NULL,NULL,F,853647607,NULL,F,NULL,NULL,100000,2020-12-01 14:14:55,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164004,2000164004,1,2020-12-01 00:00:00,1,Periodic,0,126666,0,100000,0,0,0,26666,NULL,0,0,0,0,0,2020-12-01 00:00:00,2020-12-01 00:00:00,2020-12-01 00:00:00,126666,NULL,0,0,2020-12-01 11:18:06,2020-12-01 11:18:06,2020-12-01 11:18:06,1,126666,OMR,NULL,T,F,NULL,NULL,VFO0000003,2020-12-01 11:18:06,2020-11-23 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-03-01 00:00:00,2,Invoice number allocated.,10001,1.0,2020-12-01 00:00:00,2020-12-31 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,F,871324315,NULL,F,NULL,NULL,0,2020-12-01 11:18:06,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164015,2000164015,2,2020-12-07 00:00:00,4,Termination,26666,-82821,0,0,0,0,0,-56155,NULL,0,0,0,0,0,2020-12-07 00:00:00,2020-12-07 00:00:00,2020-12-07 00:00:00,-82821,NULL,0,0,2020-12-07 11:47:26,2020-12-07 11:47:26,2020-12-07 11:47:26,2,-82821,OMR,NULL,T,F,NULL,NULL,VFO0000022,2020-12-07 11:47:26,2020-12-01 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-03-07 00:00:00,2,Invoice number allocated.,10001,2.0,2020-12-07 00:00:00,2021-01-06 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,2020-12-02 15:58:44,2020-12-02 22:55:44,NULL,NULL,F,618050621,NULL,F,NULL,NULL,0,2020-12-07 11:47:26,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164038,2000164038,1,2020-12-01 00:00:00,1,Periodic,0,126666,0,0,0,0,0,126666,NULL,0,0,0,0,0,2020-12-01 00:00:00,2020-12-01 00:00:00,2020-12-01 00:00:00,126666,NULL,0,0,2020-12-01 14:36:17,2020-12-01 14:36:17,2020-12-01 14:36:17,1,126666,OMR,NULL,T,F,NULL,NULL,VFO0000014,2020-12-01 14:36:17,2020-11-23 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-03-01 00:00:00,2,Invoice number allocated.,10001,1.0,2020-12-01 00:00:00,2020-12-31 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,F,833922644,NULL,F,NULL,NULL,0,2020-12-01 14:36:17,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000164924,2000164605,1,2020-12-01 00:00:00,1,Periodic,0,166966,0,100000,0,0,0,66966,NULL,0,0,0,0,0,2020-12-01 00:00:00,2020-12-01 00:00:00,2020-12-01 00:00:00,166966,NULL,0,0,2020-12-01 21:28:19,2020-12-01 21:28:19,2020-12-01 21:28:19,1,166966,OMR,NULL,T,F,NULL,NULL,VFO0000013,2020-12-01 21:28:19,2020-11-11 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-03-01 00:00:00,2,Invoice number allocated.,10001,1.0,2020-12-01 00:00:00,2020-12-31 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,2020-11-11 22:24:58,2020-11-11 22:24:58,NULL,NULL,F,320192418,NULL,F,NULL,NULL,0,2020-12-01 21:28:19,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,8.0,NULL,NULL,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000168410,2000168009,1,2020-11-26 00:00:00,1,Periodic,0,170967,0,100000,0,0,0,70967,NULL,0,0,0,0,0,2020-11-26 00:00:00,2020-11-26 00:00:00,2020-11-26 00:00:00,170967,NULL,0,0,2020-11-26 09:24:58,2020-11-26 09:24:58,2020-11-26 09:24:58,1,170967,OMR,NULL,T,F,NULL,NULL,VFO0000001,2020-11-26 09:24:58,2020-11-04 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-02-24 00:00:00,2,Invoice number allocated.,10001,1.0,2020-11-26 00:00:00,2020-12-26 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,F,922470915,NULL,F,NULL,NULL,0,2020-11-26 09:24:58,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,2.0,NULL,NULL,NULL,2020-11-24 12:10:14,2020-11-24,2020-11-26-08-22-33
1000163951,2000163950,1,2020-12-01 00:00:00,1,Periodic,0,67858,0,100000,0,10000,0,-32142,NULL,0,0,0,0,0,2020-12-01 00:00:00,2020-12-01 00:00:00,2020-12-01 00:00:00,67858,NULL,0,0,2020-12-01 13:08:06,2020-12-01 13:08:06,2020-12-01 13:08:06,1,67858,OMR,NULL,T,F,NULL,NULL,VFO0000010,2020-12-01 13:08:06,2020-11-23 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-03-01 00:00:00,2,Invoice number allocated.,10001,1.0,2020-12-01 00:00:00,2020-12-31 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,NULL,NULL,NULL,NULL,F,842916269,NULL,F,NULL,NULL,0,2020-12-01 13:08:06,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163951,2000163950,2,2021-01-01 00:00:00,1,Periodic,-32142,146000,0,0,0,0,0,113858,NULL,0,0,0,0,0,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-01-01 00:00:00,146000,NULL,0,0,2021-01-01 13:12:38,2021-01-01 13:12:38,2021-01-01 13:12:38,2,146000,OMR,NULL,T,F,NULL,NULL,VFO0000011,2021-01-01 13:12:38,2020-12-01 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-04-01 00:00:00,2,Invoice number allocated.,10001,2.0,2021-01-01 00:00:00,2021-01-31 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,2020-11-23 13:10:18,2020-11-23 15:10:53,NULL,NULL,F,842916269,NULL,F,NULL,NULL,0,2021-01-01 13:12:38,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
1000163952,2000163951,4,2021-03-01 00:00:00,1,Periodic,204750,115600,0,0,0,0,0,320350,NULL,0,0,0,0,0,2021-03-01 00:00:00,2021-03-01 00:00:00,2021-03-01 00:00:00,115600,NULL,0,0,2021-03-01 12:02:16,2021-03-01 12:02:16,2021-03-01 12:02:16,4,115600,OMR,NULL,T,F,NULL,NULL,VFO0000019,2021-03-01 12:02:16,2021-02-01 00:00:00,1,1,Created.,NULL,NULL,NULL,NULL,NULL,2021-05-30 00:00:00,2,Invoice number allocated.,10001,4.0,2021-03-01 00:00:00,2021-03-31 00:00:00,NULL,NULL,NULL,NULL,F,NULL,NULL,2021-02-10 16:46:44,2021-02-21 23:53:44,NULL,NULL,F,76063392,NULL,F,NULL,NULL,0,2021-03-01 12:02:16,NULL,0,NULL,NULL,NULL,F,0,0,0,0,0,NULL,NULL,NULL,NULL,2020-11-26 08:22:33,2020-11-26,2020-11-26-08-22-33
