customer_ref,account_num,product_seq,product_id,product_name,product_type,parent_product_seq,cust_order_num,supplier_order_num,suppress_init_charge_boo,suppress_term_charge_boo,suppress_early_term_charge_boo,event_source_count,subscription_boo,subs_product_seq,subscription_ref,template_optional_prod_boo,has_add_on_products_boo,domain_id,extraction_timestamp,date,history_date
1000163954,2000163954,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904177813932545,F,F,F,-1,T,1,0000000006,F,F,371431189,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163955,2000163955,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904170613932852,F,F,F,-1,T,1,0000000007,F,F,759941606,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163972,2000164038,2,28,Mobile Postpaid Line,1,NULL,NULL,9158905693913008870,F,F,F,-1,F,1,0000000024,F,F,833922644,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163996,2000163996,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904256813951745,F,F,F,-1,F,1,0000000010,F,F,341648300,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163998,2000163998,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904281913954192,F,F,F,-1,T,1,0000000011,F,F,763290482,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163998,2000163998,3,75,1 x Monthly Subscription FREE_Mobile Pos,1,NULL,NULL,9158904366513956107,F,F,F,-1,F,1,0000000011,F,F,763290482,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164007,2000164007,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904580713965539,F,F,F,-1,F,1,0000000014,F,F,617606644,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164009,2000164014,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158905201913980606,F,F,F,-1,T,1,0000000018,F,F,981434547,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164010,2000164011,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904781713974142,F,F,F,-1,T,1,0000000016,F,F,235286566,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164018,2000164018,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158905327713985255,F,F,F,-1,T,1,0000000020,F,F,840884227,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164028,2000164029,2,28,Mobile Postpaid Line,1,NULL,NULL,9158905520613996800,F,F,F,-1,F,1,0000000023,F,F,937315709,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164128,2000164128,2,28,Mobile Postpaid Line,1,NULL,NULL,9159016450113234559,F,F,F,-1,F,1,0000000027,F,F,155457955,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164128,2000164128,3,29,Mobile Postpaid Plan,1,NULL,NULL,9159016473013235510,F,F,F,-1,T,3,0000000028,F,F,155457955,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164168,2000164149,2,28,Mobile Postpaid Line,1,NULL,NULL,9159025068813405198,F,F,F,-1,F,1,0000000030,F,F,18626523,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164170,2000164151,2,28,Mobile Postpaid Line,1,NULL,NULL,9159025805013410015,F,F,F,-1,F,1,0000000032,F,F,221422765,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164171,2000164152,3,29,Mobile Postpaid Plan,1,NULL,NULL,9159025831913413146,F,F,F,-1,T,3,0000000034,F,F,321994565,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164174,2000164154,2,28,Mobile Postpaid Line,1,NULL,NULL,9159025924313416784,F,F,F,-1,F,1,0000000036,F,F,867708818,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164177,2000164170,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159026264713423629,F,F,F,-1,T,1,0000000039,F,F,612161921,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164177,2000164170,2,28,Mobile Postpaid Line,1,NULL,NULL,9159026268713423629,F,F,F,-1,F,1,0000000039,F,F,612161921,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164178,2000164171,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159026330113425845,F,F,F,-1,T,1,0000000040,F,F,995366216,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163950,2000163950,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904164613930099,F,F,F,-1,T,1,0000000002,F,F,842916269,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163950,2000163950,3,77,Get 50% Off Monthly Subscription_Mobile ,1,NULL,NULL,9158904984813979448,F,F,F,-1,F,1,0000000002,F,F,842916269,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
