customer_ref,account_num,physical_payment_seq,payment_method_id,payment_method_name,physical_payment_mny,currency_code,created_dtm,physical_payment_dat,payment_status_id,payment_status_value,refund_boo,batch_id,physical_payment_ref,physical_payment_txt,failed_dtm,failure_code_id,failure_txt,cancelled_dtm,cancelled_txt,extraction_timestamp,date,history_date
1000164178,NULL,4,10002,RecurringCardPayment,270000,OMR,2020-12-07 16:34:49,2020-10-08 00:00:00,1,Created.,F,NULL,Pay070319020999,payment Description,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,NULL,6,10002,RecurringCardPayment,270000,OMR,2020-12-07 16:35:24,2020-10-08 00:00:00,1,Created.,F,NULL,Pay070319020999,payment Description,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164128,NULL,3,10002,RecurringCardPayment,100000,OMR,2020-12-06 10:21:30,2020-11-26 00:00:00,1,Created.,F,NULL,Pay59462,Regular,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164171,NULL,3,10002,RecurringCardPayment,100000,OMR,2020-12-07 12:21:37,2020-11-27 00:00:00,1,Created.,F,NULL,Pay51400,Regular,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164018,NULL,3,10005,Manual,-80000,OMR,2020-12-05 17:36:53,2020-12-05 00:00:00,1,Created.,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,NULL,3,10005,Manual,-45000,OMR,2020-12-07 16:01:05,2020-12-07 00:00:00,1,Created.,T,NULL,NULL,test,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163951,2000163951,2,10002,RecurringCardPayment,27466,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163952,2000163952,2,10002,RecurringCardPayment,116636,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164000,2000164000,2,10002,RecurringCardPayment,26666,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164010,2000164011,3,10002,RecurringCardPayment,100000,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
