customer_ref,account_num,subs_id,ocs_subscription_id,productoffering_id,productoffering_name,is_top_offer,productoffering_type_id,productoffering_type_value,event_type,bpi_mrc,bpi_discount_mrc,bpi_tax_mrc,bpi_total_mrc,recurrent_basic_total_discount,recurrent_basic_total_price,offer_price,event_dtm,transaction_id,result_message,result_code,ocs_charged_amount,remaining_balance,day_before_expire_date,expire_date,hour_number,history_date
1000163940,2000263934,9158818010000000001,436607000001,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200831000100,wio6663,All procedures executed successfully.,0,5,1000.0,NULL,NULL,5,2020-09-09-00-00-00
1000163941,2000263935,9158818010000000002,436607000002,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200901000100,pi77pu8,All procedures executed successfully.,0,5,1000.0,NULL,NULL,9,2020-09-09-00-00-00
1000163942,2000263936,9158818010000000003,436607000003,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200902000100,wio6663,All procedures executed successfully.,0,5,1000.0,NULL,NULL,8,2020-09-09-00-00-00
1000163943,2000263937,9158818010000000004,436607000004,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200903000100,pi77pu8,All procedures executed successfully.,0,5,1000.0,NULL,NULL,10,2020-09-09-00-00-00
1000163944,2000263938,9158818010000000005,436607000005,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200904000100,wio6663,All procedures executed successfully.,0,5,1000.0,NULL,NULL,8,2020-09-09-00-00-00
1000163945,2000263939,9158818010000000006,436607000006,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200905000100,pi77pu8,All procedures executed successfully.,0,5,1000.0,NULL,NULL,9,2020-09-09-00-00-00
1000163946,2000263940,9158818010000000007,436607000007,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200906000100,wio6663,All procedures executed successfully.,0,5,1000.0,NULL,NULL,9,2020-09-09-00-00-00
1000163947,2000263941,9158818010000000008,436607000008,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200907000100,pi77pu8,All procedures executed successfully.,0,5,1000.0,NULL,NULL,8,2020-09-09-00-00-00
1000163948,2000263942,9158818010000000009,436607000009,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200908000100,wio6663,All procedures executed successfully.,0,5,1000.0,NULL,NULL,8,2020-09-09-00-00-00
1000163949,2000263943,9158818010000000010,436607000010,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200909000100,pi77pu8,All procedures executed successfully.,0,5,1000.0,NULL,NULL,10,2020-09-09-00-00-00
1000163950,2000263944,9158818010000000011,436607000011,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200910000100,wio6663,All procedures executed successfully.,0,5,1000.0,NULL,NULL,10,2020-09-09-00-00-00
1000163962,2000263956,9158818010000000023,436607000023,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200903000100,wio6663,All procedures executed successfully.,0,5,1000.0,NULL,NULL,8,2020-09-09-00-00-00
1000163963,2000263957,9158818010000000024,436607000024,6400000004,Mobile Prepaid 6 GB,Yes,9125737315713245976,Product Offering,Outpayment,22.46,3.15,0.92,22.46,3.0,21.39,50,20200903000100,pi77pu8,All procedures executed successfully.,0,5,1000.0,NULL,NULL,8,2020-09-09-00-00-00
