address_unit_id,country,addr_level_1,addr_level_2,addr_level_3,addr_level_4,addr_level_5,extraction_timestamp,date,history_date
9158144031213257343,Sandbox country,Sandbox Region,Sandbox City,Street,1,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144308713275809,Sandbox country,Sandbox Region,Sandbox City,NewStreet,25,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157016072513873927,Sandbox country,Region SBX,City SBX,1001,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158126844613196100,Canada,Test State,New Municipality/City#1,New Address Line#1,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157016077413873927,Sandbox country,Region SBX,City SBX,Street SBX,42,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137135413199800,Sandbox country,Sandbox Region,Sandbox City,0101,NULL,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137187213199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,80,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137184313199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,87,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137139613199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,22,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137139513199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,12,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137138613199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,21,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137137913199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,50,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137137113199900,Sandbox country,Sandbox Region,Sandbox City,Street 1,70,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137136813199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,39,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137136713199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,29,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137135813199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,38,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137135013199900,Sandbox country,Sandbox Region,Sandbox City,Street 1,58,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137134713199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,27,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137134113199900,Sandbox country,Sandbox Region,Sandbox City,Street 1,67,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137133913199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,46,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137133813199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,36,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137133713199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,26,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137133113199900,Sandbox country,Sandbox Region,Sandbox City,Street 1,66,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137132113199900,Sandbox country,Sandbox Region,Sandbox City,Street 1,65,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137130213199900,Sandbox country,Sandbox Region,Sandbox City,Street 1,73,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137186213199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,79,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137185313199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,88,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137185213199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,78,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137184213199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,77,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137181313199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,84,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137180313199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,83,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137139813199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,42,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137139413199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,2,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137139013199900,Sandbox country,Sandbox Region,Sandbox City,Street 1,62,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137138913199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,51,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137138513199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137138413199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137137813199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,40,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137137713199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,30,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137137613199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,20,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137137413199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137136613199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,19,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137136513199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,9,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137134613199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,17,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137133613199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,16,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137132913199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,45,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137132613199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,15,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137131213199900,Sandbox country,Sandbox Region,Sandbox City,Street 1,74,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137183213199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,76,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137182313199999,Sandbox country,Sandbox Region,Sandbox City,Street 1,85,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137139913199800,Sandbox country,Sandbox Region,Sandbox City,Street 1,52,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
