esim_id,adm1,activation_state_value,activation_state_id,customer_account,matching_id,linked_eid,esim_batch_id,iccid,imsi,imsi_rb,esim_logical_status_value,esim_logical_status_id,sim_manufacturer_id,item_model_id,extraction_timestamp,date,history_date
9158137190113200392,13936072,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371901132003920,137190113200392,137190113200392,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137190613200292,19953938,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371906132002920,137190613200292,137190613200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137190813200292,37069478,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371908132002920,137190813200292,137190813200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137191513200292,12811484,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371915132002920,137191513200292,137191513200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137192913200292,64020968,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371929132002920,137192913200292,137192913200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137193513200292,14612183,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371935132002920,137193513200292,137193513200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137193913200292,71789743,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371939132002920,137193913200292,137193913200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137194013200392,45935903,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371940132003920,137194013200392,137194013200392,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137194513200292,33558922,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371945132002920,137194513200292,137194513200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137194813200292,13810450,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371948132002920,137194813200292,137194813200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137195413200292,58359693,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371954132002920,137195413200292,137195413200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137195813200292,64164233,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371958132002920,137195813200292,137195813200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137195913200292,24507499,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371959132002920,137195913200292,137195913200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137196513200292,18555140,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371965132002920,137196513200292,137196513200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137196913200292,26791270,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371969132002920,137196913200292,137196913200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137197413200292,7738831,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371974132002920,137197413200292,137197413200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137197613200292,97405872,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371976132002920,137197613200292,137197613200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137197713200292,12665039,Not Activated,9155898736413090558,NULL,NULL,NULL,NULL,91581371977132002920,137197713200292,137197713200292,Available,NULL,NULL,9156779364813869393,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
