status_id,status_value,attr_type_def_id
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
5051946053013506923,Free,5051946053013506922
5051946055013506924,Assigned,5051946053013506922
9123982801013901609,Reserved,5051946053013506922
9123982802013901610,Aging,5051946053013506922
9123982803113901611,Ported-out,5051946053013506922
