activation_state_id,activation_state_value,attr_type_def_id
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
9155898736413090558,Not Activated,9155898735413090558
9155898812213090637,Pre-activated,9155898735413090558
9155898813213090637,Activated,9155898735413090558
9155898814213090637,Deactivated,9155898735413090558
