bill_period_unit_id,bill_period_unit_value,attr_type_def_id
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
9135459200013517973,Day,9135459200013517972
9135459200013517974,Week,9135459200013517972
9135459200013517975,Month,9135459200013517972
