billing_status_id,billing_status_value,attr_type_def_id
9135405314613494929,Currently being billed,9135405314613494928
9135405314613494931,Currently undergoing override billing,9135405314613494928
9135405314613494932,Currently being rebilled,9135405314613494928
9135405314613494933,Account's latest bill was cancelled,9135405314613494928
9135405314613494934,Cancellation requested,9135405314613494928
9135405314613494935,Cancellation of account's latest bill failed due to error,9135405314613494928
9135405314613494936,Cancellation of account's latest bill failed due to failure in bill hierarchy,9135405314613494928
9135405314613494937,Duplicate events identified,9135405314613494928
9135405314613494938,Duplicate events detected,9135405314613494928
9135405314613494939,Account has generated an exceptional bill,9135405314613494928
9135405314613494940,Billable,9135405314613494928
9135405314613494942,Rebill failed due to detection of duplicates,9135405314613494928
9135405314613494943,Rebill failed due to exceptional bill conditions,9135405314613494928
9135405314613494944,Duplicate events detected on rebill,9135405314613494928
9135405314613494945,Rebill requested,9135405314613494928
9135405314613494948,Rebill failed due to error,9135405314613494928
9135405314613494949,Rebill failed due to failure in bill hierarchy,9135405314613494928
9135405314613494950,Billing failed for some other reason,9135405314613494928
9135405314613494951,Do not bill account as billing has failed for another account in the bill hierarchy,9135405314613494928
9135405314613494959,Override exceptional bill on next run.  ,9135405314613494928
9149953016413735252,Override exceptional rebill on next run,9135405314613494928
9149953016413735253,Currently undergoing override rebilling,9135405314613494928
9135405314613494929,Currently being billed,9135405314613494928
9135405314613494931,Currently undergoing override billing,9135405314613494928
9135405314613494932,Currently being rebilled,9135405314613494928
9135405314613494933,Account's latest bill was cancelled,9135405314613494928
9135405314613494934,Cancellation requested,9135405314613494928
9135405314613494935,Cancellation of account's latest bill failed due to error,9135405314613494928
9135405314613494936,Cancellation of account's latest bill failed due to failure in bill hierarchy,9135405314613494928
9135405314613494937,Duplicate events identified,9135405314613494928
9135405314613494938,Duplicate events detected,9135405314613494928
9135405314613494939,Account has generated an exceptional bill,9135405314613494928
9135405314613494940,Billable,9135405314613494928
9135405314613494942,Rebill failed due to detection of duplicates,9135405314613494928
9135405314613494943,Rebill failed due to exceptional bill conditions,9135405314613494928
9135405314613494944,Duplicate events detected on rebill,9135405314613494928
9135405314613494945,Rebill requested,9135405314613494928
9135405314613494948,Rebill failed due to error,9135405314613494928
9135405314613494949,Rebill failed due to failure in bill hierarchy,9135405314613494928
9135405314613494950,Billing failed for some other reason,9135405314613494928
9135405314613494951,Do not bill account as billing has failed for another account in the bill hierarchy,9135405314613494928
9135405314613494959,Override exceptional bill on next run.  ,9135405314613494928
9149953016413735252,Override exceptional rebill on next run,9135405314613494928
9149953016413735253,Currently undergoing override rebilling,9135405314613494928
9135405314613494929,Currently being billed,9135405314613494928
9135405314613494931,Currently undergoing override billing,9135405314613494928
9135405314613494932,Currently being rebilled,9135405314613494928
9135405314613494933,Account's latest bill was cancelled,9135405314613494928
9135405314613494934,Cancellation requested,9135405314613494928
9135405314613494935,Cancellation of account's latest bill failed due to error,9135405314613494928
9135405314613494936,Cancellation of account's latest bill failed due to failure in bill hierarchy,9135405314613494928
9135405314613494937,Duplicate events identified,9135405314613494928
9135405314613494938,Duplicate events detected,9135405314613494928
9135405314613494939,Account has generated an exceptional bill,9135405314613494928
9135405314613494940,Billable,9135405314613494928
9135405314613494942,Rebill failed due to detection of duplicates,9135405314613494928
9135405314613494943,Rebill failed due to exceptional bill conditions,9135405314613494928
9135405314613494944,Duplicate events detected on rebill,9135405314613494928
9135405314613494945,Rebill requested,9135405314613494928
9135405314613494948,Rebill failed due to error,9135405314613494928
9135405314613494949,Rebill failed due to failure in bill hierarchy,9135405314613494928
9135405314613494950,Billing failed for some other reason,9135405314613494928
9135405314613494951,Do not bill account as billing has failed for another account in the bill hierarchy,9135405314613494928
9135405314613494959,Override exceptional bill on next run.  ,9135405314613494928
9149953016413735252,Override exceptional rebill on next run,9135405314613494928
9149953016413735253,Currently undergoing override rebilling,9135405314613494928
9135405314613494929,Currently being billed,9135405314613494928
9135405314613494931,Currently undergoing override billing,9135405314613494928
9135405314613494932,Currently being rebilled,9135405314613494928
9135405314613494933,Account's latest bill was cancelled,9135405314613494928
9135405314613494934,Cancellation requested,9135405314613494928
9135405314613494935,Cancellation of account's latest bill failed due to error,9135405314613494928
9135405314613494936,Cancellation of account's latest bill failed due to failure in bill hierarchy,9135405314613494928
9135405314613494937,Duplicate events identified,9135405314613494928
9135405314613494938,Duplicate events detected,9135405314613494928
9135405314613494939,Account has generated an exceptional bill,9135405314613494928
9135405314613494940,Billable,9135405314613494928
9135405314613494942,Rebill failed due to detection of duplicates,9135405314613494928
9135405314613494943,Rebill failed due to exceptional bill conditions,9135405314613494928
9135405314613494944,Duplicate events detected on rebill,9135405314613494928
9135405314613494945,Rebill requested,9135405314613494928
9135405314613494948,Rebill failed due to error,9135405314613494928
9135405314613494949,Rebill failed due to failure in bill hierarchy,9135405314613494928
9135405314613494950,Billing failed for some other reason,9135405314613494928
9135405314613494951,Do not bill account as billing has failed for another account in the bill hierarchy,9135405314613494928
