billing_status_id,billing_status_value,attr_type_def_id
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
9144397268013461227,Ready For Cancel,9141504139913676267
9147065297813677063,Ready For Update,9141504139913676267
9147560325213820803,Ready For Sync Nominated Events,9141504139913676267
9147604316913924603,Force Update,9141504139913676267
9148700936013184989,Ready for Sync Event Sources,9141504139913676267
9149504081313755152,Ready for Disconnect,9141504139913676267
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
9144397268013461227,Ready For Cancel,9141504139913676267
9147065297813677063,Ready For Update,9141504139913676267
9147560325213820803,Ready For Sync Nominated Events,9141504139913676267
9147604316913924603,Force Update,9141504139913676267
9148700936013184989,Ready for Sync Event Sources,9141504139913676267
9149504081313755152,Ready for Disconnect,9141504139913676267
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
9144397268013461227,Ready For Cancel,9141504139913676267
9147065297813677063,Ready For Update,9141504139913676267
9147560325213820803,Ready For Sync Nominated Events,9141504139913676267
9147604316913924603,Force Update,9141504139913676267
9148700936013184989,Ready for Sync Event Sources,9141504139913676267
9149504081313755152,Ready for Disconnect,9141504139913676267
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
9144397268013461227,Ready For Cancel,9141504139913676267
9147065297813677063,Ready For Update,9141504139913676267
9147560325213820803,Ready For Sync Nominated Events,9141504139913676267
9147604316913924603,Force Update,9141504139913676267
9148700936013184989,Ready for Sync Event Sources,9141504139913676267
9149504081313755152,Ready for Disconnect,9141504139913676267
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
9144397268013461227,Ready For Cancel,9141504139913676267
9147065297813677063,Ready For Update,9141504139913676267
9147560325213820803,Ready For Sync Nominated Events,9141504139913676267
9147604316913924603,Force Update,9141504139913676267
9148700936013184989,Ready for Sync Event Sources,9141504139913676267
9149504081313755152,Ready for Disconnect,9141504139913676267
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
9144397268013461227,Ready For Cancel,9141504139913676267
9147065297813677063,Ready For Update,9141504139913676267
9147560325213820803,Ready For Sync Nominated Events,9141504139913676267
9147604316913924603,Force Update,9141504139913676267
9148700936013184989,Ready for Sync Event Sources,9141504139913676267
9149504081313755152,Ready for Disconnect,9141504139913676267
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
9144397268013461227,Ready For Cancel,9141504139913676267
9147065297813677063,Ready For Update,9141504139913676267
9147560325213820803,Ready For Sync Nominated Events,9141504139913676267
9147604316913924603,Force Update,9141504139913676267
9148700936013184989,Ready for Sync Event Sources,9141504139913676267
9149504081313755152,Ready for Disconnect,9141504139913676267
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
9144397268013461227,Ready For Cancel,9141504139913676267
9147065297813677063,Ready For Update,9141504139913676267
9147560325213820803,Ready For Sync Nominated Events,9141504139913676267
9147604316913924603,Force Update,9141504139913676267
9148700936013184989,Ready for Sync Event Sources,9141504139913676267
9149504081313755152,Ready for Disconnect,9141504139913676267
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
9144397268013461227,Ready For Cancel,9141504139913676267
9147065297813677063,Ready For Update,9141504139913676267
9147560325213820803,Ready For Sync Nominated Events,9141504139913676267
9147604316913924603,Force Update,9141504139913676267
9148700936013184989,Ready for Sync Event Sources,9141504139913676267
9149504081313755152,Ready for Disconnect,9141504139913676267
9141504170013676274,Not Synchronized,9141504139913676267
9141504170013676275,Pending,9141504139913676267
9141504170013676276,Ready For Billing,9141504139913676267
9141504170013676277,Active,9141504139913676267
9141504170013676278,Suspended,9141504139913676267
9141504170013676280,Terminated,9141504139913676267
