nationality_id,nationality_value,attr_type_def_id
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
9153466891913203820,Non EU,9153466891913203817
9153466891913203818,Hungarian,9153466891913203817
9153466891913203819,EU,9153466891913203817
