initiating_system_id,initiating_system_value,attr_type_def_id
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
9148223396313661753,Order Entry,9148223382213661726
9148223396313661759,D2D Portal,9148223382213661726
9148223396313661760,Collections,9148223382213661726
9148223396313661762,Other,9148223382213661726
9153817101813286625,SSP,9148223382213661726
