type_id,type_value,attr_type_def_id
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
9144544894713304798,Postpaid,9144543752013303038
9144544894713304799,Postpaid VPN,9144543752013303038
9144545036013304990,Prepaid,9144543752013303038
9144545036013304991,Hybrid,9144543752013303038
9147931761613992780,Internal,9144543752013303038
