syncstatus_id,syncstatus_value,attr_type_def_id
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
9135415072813193639,Not Synchronized,9135415072813193636
9135415072813193640,Synchronized,9135415072813193636
9135415072813193641,Deleted,9135415072813193636
