payment_method_id,payment_method_name,sales_start_dat,request_needed_boo,payment_system_id,system_name,system_desc,collection_offset_days,refund_request_boo,account_picklist_boo,mandate_required_boo,revenue_code_id,revenue_code_name,sales_end_dat,request_delay_days,notification_delay,extraction_timestamp,date,history_date
7,Topup,NULL,F,NULL,NULL,NULL,NULL,F,T,F,NULL,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
8,LockBox,NULL,F,NULL,NULL,NULL,NULL,F,T,F,NULL,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
2,Bank Card,NULL,T,1,BACS,BACS payment system for Direct Debits,10,F,T,T,NULL,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
5,Direct Debit [SEPA],NULL,T,1,BACS,BACS payment system for Direct Debits,10,F,T,T,NULL,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
10002,RecurringCardPayment,1970-01-01 00:00:00.0,T,10001,RecurringCardPayment,Default system for Vodafone Oman,30,F,T,T,10005,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
10004,Cash,1970-01-01 00:00:00.0,F,NULL,NULL,NULL,NULL,F,T,F,10005,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
10005,Manual,1970-01-01 00:00:00.0,F,NULL,NULL,NULL,NULL,F,T,F,10005,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
4,Bank Tranfer,NULL,T,1,BACS,BACS payment system for Direct Debits,10,F,T,T,NULL,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
6,Direct Debit,NULL,T,1,BACS,BACS payment system for Direct Debits,22,F,T,T,NULL,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
10001,Debit Card Payment (MVA),1970-01-01 00:00:00.0,F,NULL,NULL,NULL,NULL,F,T,F,10005,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
10003,Credit Card Payment  (MVA),1970-01-01 00:00:00.0,F,NULL,NULL,NULL,NULL,F,T,F,10005,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
3,Postal,NULL,F,NULL,NULL,NULL,NULL,F,F,F,NULL,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
1,Cash,NULL,F,NULL,NULL,NULL,NULL,F,T,F,NULL,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
9,AdhocPayment,NULL,F,NULL,NULL,NULL,NULL,F,T,F,NULL,NULL,NULL,NULL,NULL,2020-11-11 05:55:35.0,2020-11-11,2020-11-11-05-55-35
