productoffering_characteristic_id,productoffering_id,productoffering_template_id,productoffering_characteristic_attr_id,productoffering_characteristic_name,default_value,mandatory,visible,modifiable,included_to_invoice,characteristic_number,propagate_entered_value_to_children,extraction_timestamp,date,history_date
9157732583413871299,9400000002,9156599352065809177,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,2,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732586413871299,9400000003,9156599352065809273,NULL,Number Category,9155466565065825998,True,True,NULL,False,2,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732600213872547,6600000005,9156599352065809225,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732600313872547,6600000008,9157116615865327560,NULL,Data OCS ID,610,False,False,NULL,False,3,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732602713872009,6400000000,9156599352065809159,NULL,Included SMS Allowance,9157273485065083235,True,True,NULL,False,8,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732603913872009,6400000002,9156599352065809159,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,3,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732604113872547,6600000003,9156599352065809183,NULL,"Data Volume, GB",9156678732465817262,True,True,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732604913872009,6400000002,9156599352065809159,NULL,Included SMS Allowance,9157273485065083235,True,True,NULL,False,8,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732605613872009,6400000000,9156599352065809159,NULL,Data OCS ID,100,False,False,NULL,False,9,Children,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732605913872009,6400000002,9156599352065809159,NULL,Voice OCS ID,202,False,False,NULL,False,10,Children,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732606313872547,6600000010,9157116615865327560,NULL,Data OCS ID,612,False,False,NULL,False,3,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732607613872009,6400000000,9156599352065809159,NULL,RunTime Cycle,9155459816265896710,True,True,True,False,2,Children,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732607713872009,6400000001,9156599352065809159,NULL,Included Voice Allowance,9155459816365896795,True,True,NULL,False,7,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732609013872547,6600000001,9156599352065809183,NULL,Data OCS ID,511,False,False,NULL,False,3,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732629413874678,3600000003,9156701550965077037,NULL,Compatible Equipment Types,NULL,False,False,NULL,False,2,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732630013875550,2400000050,9156850850865695070,NULL,Model,9151846793513653621,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732630913875450,2400000040,9156850850865695070,NULL,Model,9151846793513653556,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732632013875550,2400000052,9156850850865695070,NULL,Model,9151993340413664148,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732632813875450,2400000032,9156850850865695070,NULL,Model,9149540411013708594,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732632913875450,2400000042,9156850850865695070,NULL,Model,9151846793513653576,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732633113875550,2400000063,9156850850865695070,NULL,Model,9149308892513711692,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732633213875550,2400000073,9156850850865695070,NULL,Model,9149308892513711669,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732633813875450,2400000033,9156850850865695070,NULL,Model,9149540411113708595,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732634013875550,2400000054,9156850850865695070,NULL,Model,9151993340413664129,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732634713875450,2400000024,9156850850865695070,NULL,Model,9149308892513711683,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732636913875450,2400000046,9156850850865695070,NULL,Model,9151846793513653529,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732637013875550,2400000057,9156850850865695070,NULL,Model,9151846793513653604,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732637813875450,2400000037,9156850850865695070,NULL,Model,9152004198913667979,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732639913875450,2400000049,9156850850865695070,NULL,Model,9151846793513653612,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732680613876713,5500000005,9156936335365761789,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732682413876713,5500000002,9156936335365761789,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732684013877147,5400000009,9156936335465761875,NULL,Data OCS ID,715,False,False,NULL,False,2,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732684913877047,5400000005,9156936335365761816,NULL,"Voice Volume, Min",9155459816365896746,True,True,NULL,False,2,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732687013877147,5400000010,9156936335465761875,NULL,Data OCS ID,716,False,False,NULL,False,2,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732688413876713,5500000003,9156936335365761789,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732689613876830,5600000006,9156936335465761898,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732600713872009,6400000000,9156599352065809159,NULL,Tariff OCS ID,1111,False,False,NULL,False,12,Children,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732601013872327,6500000005,9156599352065809190,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732602213872547,6600000005,9156599352065809225,NULL,"Voice Volume, Min",9155459816365896746,True,True,NULL,False,2,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732602813872009,6400000001,9156599352065809159,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,3,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732605813872009,6400000001,9156599352065809159,NULL,PCRF Profile ID,pcrf_profile_2222,False,False,NULL,False,15,Children,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732609213872547,6600000008,9157116615865327560,NULL,"Data Volume, GB",9155459816365896716,True,True,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732609613872009,6400000000,9156599352065809159,NULL,AutoRenewal,9155459816265896705,True,True,NULL,False,1,Children,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732609813872009,6400000002,9156599352065809159,NULL,RunTime Cycle,9155459816265896708,True,True,True,False,2,Children,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732630113875550,2400000060,9156850850865695071,NULL,Model,9156874630513867640,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732630213875550,2400000070,9156850850865695070,NULL,Model,9147471184113895349,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732631213875550,2400000071,9156850850865695070,NULL,Model,9147471184113895350,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732631713875450,2400000021,9156850850865695070,NULL,Model,9149308892513711674,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732635013875550,2400000055,9156850850865695070,NULL,Model,9151846793513653585,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732635113875550,2400000065,9156850850865695070,NULL,Model,9149650992613705509,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732635913875450,2400000045,9156850850865695070,NULL,Model,9151993340413664083,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732636013875550,2400000056,9156850850865695070,NULL,Model,9151846793513653595,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732636813875450,2400000036,9156850850865695070,NULL,Model,9152003892913667869,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732637913875450,2400000047,9156850850865695070,NULL,Model,9151846793513653537,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732638113875550,2400000068,9156850850865695070,NULL,Model,9148512926713659817,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732638613875450,2400000018,9156850850865695070,NULL,Model,9149308892513711680,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732638813875450,2400000038,9156850850865695070,NULL,Model,9151846877413653660,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732639013875550,2400000059,9156850850865695071,NULL,Model,9156874761013867704,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732639813875450,2400000039,9156850850865695070,NULL,Model,9151846877413653670,False,False,NULL,False,11,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732681013877147,5400000008,9156936335465761875,NULL,Data OCS ID,714,False,False,NULL,False,2,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732681313876713,5500000000,9156936335365761789,NULL,Included SMS Allowance,9157273485065083235,True,True,NULL,False,7,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732682313876713,5500000000,9156936335365761789,NULL,Included Data Allowance,9156988195365605834,True,True,NULL,False,5,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732683013877147,5400000009,9156936335465761875,NULL,"Data Volume, GB",9155459816365896728,True,True,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732685413876713,5500000003,9156936335365761789,NULL,Included Voice Allowance,9157273485065083233,True,True,NULL,False,6,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732685713876830,5600000012,9156936335465761933,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732686513876713,5500000004,9156936335365761789,NULL,Included Data Allowance,9156936335465761854,True,True,NULL,False,5,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732687613876830,5600000004,9156936335465761890,NULL,Pre-activated,9154750574465595533,True,False,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732688813877047,5400000003,9156936335365761808,NULL,"Data Volume, GB",9156988195365605833,True,True,NULL,False,1,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9157732689313876713,5500000002,9156936335365761789,NULL,Included Voice Allowance,9157273485065083233,True,True,NULL,False,6,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
