summation_attr_num_id,summation_attr_num_name
-12,Competitor cost.
-13,Internal cost.
-14,External cost.
-15,Pre-discounted cost.
-7,Number of events.
0,Event cost.
1,Attribute 1.
2,Attribute 2.
3,Attribute 3.
4,Attribute 4.
5,Attribute 5.
6,Attribute 6.
7,Attribute 7.
8,Attribute 8.
9,Attribute 9.
10,Attribute 10.
11,Attribute 11.
12,Attribute 12.
13,Attribute 13.
14,Attribute 14.
15,Attribute 15.
16,Attribute 16.
17,Attribute 17.
18,Attribute 18.
19,Attribute 19.
20,Attribute 20.
21,Attribute 21.
22,Attribute 22.
23,Attribute 23.
24,Attribute 24.
25,Attribute 25.
26,Attribute 26.
27,Attribute 27.
28,Attribute 28.
29,Attribute 29.
30,Attribute 30.
31,Attribute 31.
32,Attribute 32.
33,Attribute 33.
34,Attribute 34.
35,Attribute 35.
36,Attribute 36.
37,Extended event Attribute 1.
38,Extended event Attribute 2.
39,Extended event Attribute 3.
40,Extended event Attribute 4.
41,Extended event Attribute 5.
42,Extended event Attribute 6.
43,Extended event Attribute 7
44,Extended event Attribute 8.
45,Extended event Attribute 9.
46,Extended event Attribute 10
47,Extended event Attribute 11.
48,Extended event Attribute 12.
49,Extended event Attribute 13.
50,Extended event Attribute 14.
51,Extended event Attribute 15.
52,Extended event Attribute 16.
53,Extended event Attribute 17.
54,Extended event Attribute 18.
55,Extended event Attribute 19.
56,Extended event Attribute 20.
57,Extended event Attribute 21.
58,Extended event Attribute 22.
59,Extended event Attribute 23.
60,Extended event Attribute 24.
61,Extended event Attribute 25.
62,Extended event Attribute 26.
63,Extended event Attribute 27.
64,Extended event Attribute 28.
65,Extended event Attribute 29.
66,Extended event Attribute 30.
67,Extended event Attribute 31.
68,Extended event Attribute 32.
69,Extended event Attribute 33.
70,Extended event Attribute 34.
71,Extended event Attribute 35.
72,Extended event Attribute 36.
73,Extended event Attribute 37.
74,Extended event Attribute 38.
75,Extended event Attribute 39.
76,Extended event Attribute 40.
77,Extended event Attribute 41.
78,Extended event Attribute 42.
79,Extended event Attribute 43.
80,Extended event Attribute 44.
81,Extended event Attribute 45.
82,Extended event Attribute 46.
83,Extended event Attribute 47.
84,Extended event Attribute 48.
85,Extended event Attribute 49.
86,Extended event Attribute 50.
87,Extended event Attribute 51.
88,Extended event Attribute 52.
89,Extended event Attribute 53.
90,Extended event Attribute 54.
91,Extended event Attribute 55.
92,Extended event Attribute 56.
93,Extended event Attribute 57.
94,Extended event Attribute 58.
95,Extended event Attribute 59.
96,Extended event Attribute 60.
97,Extended event Attribute 61.
98,Extended event Attribute 62.
99,Extended event Attribute 63.
