ticket_check_id,ticket_check_value,extraction_timestamp,date,history_date
9156261590313830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261590513830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261591513830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261593713830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261595513830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261598313830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261708813830366,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261732013830416,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261752213830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261754713830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261756513830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261757113830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261758213830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261759013830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261759213830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261770213830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261778213830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261911313830640,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261916913830540,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261919213830640,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262110513830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262110713830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262113713830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262114413830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262116413830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262285513831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262286513831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9145727436013568036,[TA] Incident Check,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9152440000213769415,Sample Check,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9154588018713195985,New Incident Check,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261596313830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261597513830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261698713830318,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261736013830416,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261738913830316,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261750213830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261753113830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261755713830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261758513830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261774113830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261913013830640,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262070413830696,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262076313830696,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262111813830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262114613830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262117713830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262275413831356,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262286413831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262287413831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262287513831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262288413831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261594513830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261690813830318,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261706813830366,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261734913830316,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261751313830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261753513830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261754113830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261772313830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261778113830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261917913830540,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262078313830696,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262282513831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262289413831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261596513830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261597313830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261598413830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261599413830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261704813830366,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261730013830416,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261732913830316,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261736913830316,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261738013830416,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261750313830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261751113830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261755513830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261756113830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261756713830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261758713830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261772113830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261774213830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261910213830640,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261913113830640,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261918913830540,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262072413830696,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262113513830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262281513831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262283513831379,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261591313830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261593513830360,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261734013830416,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261750113830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261751213830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261754513830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261757713830426,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261770313830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261772213830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261776113830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261776213830579,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261911113830640,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262112913830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262117513830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262118613830620,-,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
