ticket_element_id,ticket_element_value,extraction_timestamp,date,history_date
9156261281713830124,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261282213830124,Access Busy,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261282613830124,Dial Tone After Dialing,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261283313830124,Cannot Call Out Group,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261283913830024,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261284213830124,Cannot Break Dial Tone,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261287213830124,Cannot Call 911,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261289213830124,Cannot Call Long Distance,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261289513830124,Hum On Line,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261289813830024,Bad quality,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261590713830360,Low Upload speed,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261705813830366,Call Transfer Problem,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261733913830316,Intermittent Noise,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261735013830416,Clicking,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261737913830316,Dial Tone After Dialing,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261754413830426,Wrong tariff change,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261756613830426,Wrong tariff,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261777213830579,Cannot Call 900,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261779113830579,Cannot Break Dial Tone,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261912113830640,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261919013830640,Long wait time,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262112713830620,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262119613830620,Antivirus,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9145727385013567788,[TA] Incident Element,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261201813829700,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261207713829700,E-mail doesn't work,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261288713830024,Application problem,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261707813830366,Call Waiting Problem,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261733013830416,Cannot Hear,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261737013830416,Hum On Line,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261750413830426,Long Distance Charge,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261753813830426,Dealer,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261754813830426,Shop,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261773213830579,Cannot Call 800/888,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261777113830579,Cannot Call Overseas,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261917113830640,General,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262071413830696,Shop,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156262075313830696,Dealer,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9154588018713195978,New Incident Element,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261282313830124,Cannot Call Out,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261283713830124,Long Distance Call,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261285213830124,Cannot Call 800/888,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261286613830124,Cannot Hear,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261598613830360,E-mail doesn't work,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261699713830318,Internal Call,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261703813830366,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261739913830316,Cannot Be Heard,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261750513830426,Wrong penalty charge,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261751413830426,Roaming Charge,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261751513830426,Other,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261755813830426,Online Shop,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9156261771213830579,Cannot Raise,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
