customer_ref,account_num,domain_id,bill_seq,bill_version,revenue_start_dat,revenue_end_dat,revenue_feed_id,revenue_charge_type_id,revenue_charge_type_value,bill_revenue_feed_seq,invoiced_charge_boo,created_dtm,group_attr_1,group_attr_2,group_attr_3,group_attr_4,group_attr_5,group_attr_6,group_attr_7,group_attr_8,group_attr_9,group_attr_10,group_attr_11,group_attr_12,sum_attr_1_value,sum_attr_2_value,sum_attr_3_value,sum_attr_4_value,sum_attr_5_value,sum_attr_6_value,tax_inclusive_charge_mny,re_calculated_charge_mny,re_engineered_chrg_grp_seq,group_attr_13,group_attr_14,group_attr_15,group_attr_16,group_attr_17,group_attr_18,group_attr_19,group_attr_20,history_date
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,1,T,1-Jun-19,1000101,1.0,,,,,,,,,,,8210,2,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,2,T,1-Jun-19,1100101,1.0,,,,,,,,,,,59100,3,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,3,T,1-Jun-19,1100201,1.0,,,,,,,,,,,30,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,4,T,1-Jun-19,1100501,2.0,,,,,,,,,,,259740,2,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,5,T,1-Jun-19,1100601,2.0,,,,,,,,,,,3000,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,-1,1,Normal charge,6,T,1-Jun-19,1200101,1.0,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,6-May-19,-1,1,Normal charge,7,T,1-Jun-19,1200401,1.0,,,,,,,,,,,30000,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,1-Jun-19,1-Jun-19,-1,1,Normal charge,8,T,1-Jun-19,9900101,1.0,,,,,,,,,,,9730,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,6-May-19,1,1,Normal charge,1,T,1-Jun-19,34,104.0,,1200401.0,40.0,,34.0,,,,,,30000,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,6-May-19,1,1,Normal charge,2,T,1-Jun-19,34,105.0,,1201001.0,46.0,,34.0,,,,,,0,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,6-May-19,1,1,Normal charge,3,T,1-Jun-19,34,106.0,,1201001.0,46.0,,34.0,,,,,,0,1,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,4,T,1-Jun-19,12,2.0,,-1.0,16.0,7000030004.0,12.0,,,,,,0,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,5,T,1-Jun-19,12,2.0,,-1.0,3.0,7000030004.0,12.0,,,,,,0,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,6,T,1-Jun-19,12,4.0,,1100101.0,1.0,7000030004.0,12.0,,,,,,23400,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,7,T,1-Jun-19,12,4.0,,1100101.0,15.0,7000030004.0,12.0,,,,,,23400,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
100000024,1000000003,597284603,1,1,6-May-19,31-May-19,1,1,Normal charge,8,T,1-Jun-19,12,4.0,,1100101.0,18.0,7000030004.0,12.0,,,,,,12300,0,,,,,,,,,,,,,,,,2020-10-04-00-00-00
