customer_ref,account_num,physical_payment_seq,payment_method_id,payment_method_name,physical_payment_mny,currency_code,created_dtm,physical_payment_dat,payment_status_id,payment_status_value,refund_boo,batch_id,physical_payment_ref,physical_payment_txt,failed_dtm,failure_code_id,failure_txt,cancelled_dtm,cancelled_txt,history_date
1000164171,NULL,1,1,Cash,10000,EUR,2020-08-31 14:32:20,2020-08-31 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000163970,NULL,1,1,Cash,19310,EUR,2020-08-27 10:45:44,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164012,NULL,1,1,Cash,100000,EUR,2020-08-27 11:14:26,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164028,NULL,1,2,Bank Card,35430,EUR,2020-08-27 11:39:50,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164093,NULL,1,2,Bank Card,26440,EUR,2020-08-27 12:23:33,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164018,NULL,1,2,Bank Card,666000,EUR,2020-08-27 11:22:12,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164028,NULL,2,2,Bank Card,5250,EUR,2020-08-27 11:48:09,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164092,NULL,1,2,Bank Card,8070,EUR,2020-08-27 12:22:02,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164091,NULL,1,1,Cash,13690,EUR,2020-08-27 12:19:55,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164051,NULL,1,2,Bank Card,8070,EUR,2020-08-27 12:02:01,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164069,NULL,1,2,Bank Card,20510,EUR,2020-08-27 12:23:53,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
1000164093,NULL,2,2,Bank Card,5250,EUR,2020-08-27 12:31:58,2020-08-27 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-04-00-00-00
